A00,Холера
A21.9,"Туларемия, неуточнена"
A22,Антракс
A22.0,Кожна форма на антракс
A22.1,Белодробна форма на антракс
A22.2,Стомашно-чревна форма на антракс
A22.7,Септицемия при антракс
A22.8,Други форми на антракс
A22.9,"Антракс, неуточнен"
A23,Бруцелоза
A23.0,"Бруцелоза, предизвикана от Brucella melitensis"
A23.1,"Бруцелоза, предизвикана от Brucella abortus"
A23.2,"Бруцелоза, предизвикана от Brucella suis"
A23.3,"Бруцелоза, предизвикана от Brucella canis"
A23.8,Други форми на бруцелоза
A23.9,"Бруцелоза, неуточнена"
A24,Сап и мелиоидоза
A24.0,Сап
A24.1,Остра и фулминантна мелиоидоза
A24.2,Подостра и хронична мелиоидоза
A24.3,Друга уточнена мелиоидоза
A24.4,"Мелиоидоза, неуточнена"
A25,Треска при ухапване от плъх
A25.0,Спирилоза
A25.1,Стрептобацилоза
A25.9,"Треска при ухапване от плъх, неуточнена"
A26,Еризипелоид
A26.0,Кожен еризипелоид
A26.7,"Септицемия, предизвикана от Erysipelothrix"
A26.8,Други форми на еризипелоид
A26.9,"Еризипелоид, неуточнен"
A27,Лептоспироза
A27.0,Лептоспироза иктеро-хеморагична
A27.8,Други форми на лептоспироза
A27.9,"Лептоспироза, неуточнена"
A28,"Други бактериални зоонози,  некласифицирани другаде"
A28.0,Пастьорелоза
A28.1,Треска от одраскване от котка
A28.2,Екстраинтестинална иерсиниоза
A28.8,"Други уточнени бактериални зоонози, некласифицирани другаде"
A28.9,"Бактериални зоонози, неуточнени"
A30,Проказа [болест на Hansen]
A30.0,Недиференцирана проказа
A30.1,Туберкулоидна проказа
A30.2,Гранична туберкулоидна проказа
A30.3,Гранична проказа
A30.4,Гранична лепроматозна проказа
A30.5,Лепроматозна проказа
A30.8,Други форми на проказа
A30.9,"Проказа, неуточнена"
A31,"Инфекции, предизвикани от други  микобактерии"
A31.0,"Белодробна инфекция, предизвикана от Mycobacterium"
A31.1,"Кожна инфекция, предизвикана от Mycobacterium"
A31.8,"Други инфекции, предизвикани от Mycobacterium"
A31.9,"Инфекция, предизвикана от Mycobacterium, неуточнена"
A32,Листериоза
A32.0,Кожна листериоза
A32.1,Листериозен менингит и менингоенцефалит
A32.7,Листериозна септицемия
A32.8,Други форми на листериоза
A32.9,"Листериоза, неуточнена"
A33,Тетанус на новородено
A34,Акушерски тетанус
A35,Други форми на тетанус
A36,Дифтерия
A36.0,Дифтерия на фаринкса
A36.1,Назофарингеална дифтерия
A36.2,Ларингеална дифтерия
A36.3,Дифтерия на кожата
A36.8,Друга дифтерия
A36.9,"Дифтерия, неуточнена"
A37,Коклюш
A37.0,"Коклюш, предизвикан от Bordetella pertussis"
A37.1,"Коклюш, предизвикан от Bordetella parapertussis"
A37.8,"Коклюш, предизвикан от друга уточнена Bordetella"
A37.9,"Коклюш, неуточнен"
A38,Скарлатина
A39,Менингококова инфекция
A39.0,Менингококов менингит (G01*)
A39.1,Синдром на Weterhouse-Friderichsen (E35.1*)
A39.2,Остра менингококцемия
A39.3,Хронична менингококцемия
A39.4,"Менингококцемия, неуточнена"
A39.5,Менингококова болест на сърцето
A39.8,Други менингококови инфекции
A39.9,"Менингококова инфекция, неуточнена"
A40,Стрептококова септицемия
A40.0,"Септицемия, предизвикана от стрептокок група А"
A40.1,"Септицемия, предизвикана от стрептокок група В"
A40.2,"Септицемия, предизвикана от стрептокок група D"
A40.3,"Септицемия, предизвикана от Streptococcus pneumoniae"
A40.8,Други стрептококови септицемии
A40.9,"Стрептококова септицемия, неуточнена"
A41,Друга септицемия
A41.0,"Септицемия, предизвикана от Staphyloccocus aureus"
A41.1,"Септицемия, предизвикана от други уточнени стафилококи"
A41.2,"Септицемия, предизвикана от неуточнен вид стафилокок"
A41.3,"Септицемия, предизвикана от Haemophilus influenzae"
A41.4,"Септицемия, предизвикана от анаероби"
A41.5,"Септицемия, предизвикана от други грамотрицателни микроорганизми"
A41.8,Друга уточнена септицемия
A41.9,"Септицемия, неуточнена"
A42,Актиномикоза
A42.0,Белодробна актиномикоза
A42.1,Абдоминална актиномикоза
A42.2,Цервикофациална актиномикоза
A42.7,Актиномикозна септицемия
A42.8,Друга актиномикоза
A42.9,"Актиномикоза, неуточнена"
A43,Нокардиоза
A43.0,Белодробна нокардиоза
A43.1,Нокардиоза на кожата
A43.8,Други форми на нокардиоза
A43.9,"Нокардиоза, неуточнена"
A44,Бартонелоза
A44.0,Системна бартонелоза
A44.1,Кожна и кожнолигавична бартонелоза
A44.8,Други форми на бартонелоза
A44.9,"Бартонелоза, неуточнена"
A46,Еризипел
A48,"Други бактериални болести,  некласифицирани другаде"
A48.0,Газова гангрена
A48.1,Болест на легионерите
A48.2,Болест на легионерите без пневмония [треска Pontiac]
A48.3,Токсичен шоков синдром
A48.4,Бразилска пурпурна треска
A48.8,Други уточнени бактериални болести
A49,Бактериална инфекция с неуточнена  локализация
A49.0,"Стафилококова инфекция, неуточнена"
A49.1,"Стрептококова инфекция, неуточнена"
A49.2,"Инфекция, предизвикана от Haemophilus influenzae, неуточнена"
A49.3,"Инфекция, предизвикана от микоплазма, неуточнена"
A49.8,Други бактериални инфекции с неуточнена локализация
A49.9,"Бактериална инфекция, неуточнена"
A50,Вроден сифилис
A50.0,Ранен вроден сифилис със симптоми
A50.1,Ранен вроден латентен сифилис
A50.2,"Ранен вроден сифилис, неуточнен"
A50.3,Късно вродено сифилитично увреждане на очите
A50.4,Късен вроден невросифилис [ювенилен невросифилис]
A50.5,Други форми на късен вроден сифилис със симптоми
A50.6,Късен латентен вроден сифилис
A50.7,"Късен вроден сифилис, неуточнен"
A50.9,"Вроден сифилис, неуточнен"
A51,Ранен сифилис
A51.0,Първичен сифилис на половите органи
A51.1,Първичен сифилис на ануса
A51.2,Първичен сифилис с други локализации
A51.3,Вторичен сифилис на кожата и лигавиците
A51.4,Други форми на вторичен сифилис
A51.5,Ранен латентен сифилис
A51.9,"Ранен сифилис, неуточнен"
A52,Късен сифилис
A52.0,Сифилис на сърдечно-съдовата система
A52.1,Невросифилис със симптоми
A52.2,Асимптоматичен невросифилис
A52.3,"Невросифилис, неуточнен"
A52.7,Други симптоми на късен сифилис
A52.8,Късен латентен сифилис
A52.9,"Късен сифилис, неуточнен"
A53,Други и неуточнени форми на сифилис
A53.0,"Латентен сифилис, неуточнен като ранен или късен"
A53.9,"Сифилис, неуточнен"
A54,Гонококова инфекция
A54.0,Гонококова инфекция на долните отдели на пикочо-половия тракт без абсцедиране на периуретрални или придатъчни жлези
A54.1,Гонококова инфекция на долните отдели на пикочо-половия тракт с абсцедиране на периуретрални и придатъчни жлези
A54.2,Гонококов пелвеоперитонит и други гонококови инфекции на пикочо-половия тракт
A54.3,Гонококова инфекция на окото
A54.4,Гонококова инфекция на костно-мускулната система
A54.5,Гонококов фарингит
A54.6,Гонококова инфекция на ануса и ректума
A54.8,Други гонококови инфекции
A54.9,"Гонококова инфекция, неуточнена"
A55,Хламидиен лимфогранулом (венеричен)
A56,"Други хламидийни болести, предавани по полов път"
A56.0,Хламидийни инфекции на долните отдели на пикочо-половия тракт
A56.1,Хламидийни инфекции на органите в малкия таз и други пикочо-полови органи
A56.2,"Хламидийна инфекция на пикочо-половия тракт, неуточнена"
A56.3,Хламидийна инфекция на ануса и ректума
A56.4,Хламидиен фарингит
A56.8,"Хламидийни инфекции, предавани по полов път с друга локализация"
A57,Шанкроид
A58,"Гранулом, ингвинален"
A59,Трихомониаза
A59.0,Урогенитална трихомониаза
A59.8,Трихомониаза с други локализации
A59.9,"Трихомониаза, неуточнена"
A60,Аногенитална херпес-вирусна  [herpes simplex] инфекция
A60.0,Херпес-вирусни инфекции на половите органи и пикочо-половия тракт
A60.1,Херпес-вирусни инфекции на перианалната кожа и ректума
A60.9,"Аногенитална херпес-вирусна инфекция, неуточнена"
A63,"Други болести, предавани предимно  по полов път, некласифицирани другаде"
A63.0,Аногенитални (венерични) брадавици
A63.8,"Други уточнени болести, предавани предимно по полов път"
A64,"Болести, предавани предимно по полов път, неуточнени"
A65,Невенеричен сифилис
A66,Фрамбезия
A66.0,Първични поражения при фрамбезия
A66.1,Множествени папиломи и мокреща краб-фрамбезия
A66.2,Други ранни кожни поражения при фрамбезия
A66.3,Фрамбезийна хиперкератоза
A66.4,Фрамбезийни гуми и язви
A66.5,Гангоза
A66.6,Увреждания на костите и ставите при фрамбезия
A66.7,Други симптоми при фрамбезия
A66.8,Латентна фрамбезия
A66.9,"Фрамбезия, неуточнена"
A67,Пинта [карате]
A67.0,Първични поражения при пинта
A67.1,Междинни поражения при пинта
A67.2,Късни поражения при пинта
A67.3,Смесени поражения при пинта
A67.9,"Пинта, неуточнена"
A68,Възвратни трески
A68.0,Въшкова възвратна треска
A68.1,Кърлежова възвратна треска
A68.9,"Възвратна треска, неуточнена"
A69,"Други инфекции, предизвикани  от спирохети"
A69.0,Некротизиращ язвен стоматит
A69.1,Други инфекции на Vincent
A69.2,Лаймска болест
A69.8,Други уточнени спирохетозни инфекции
A69.9,"Спирохетозна инфекция, неуточнена"
A70,"Инфекция, предизвикана от  Chlamydia psittaci"
A71,Трахома
A71.0,Начален стадий на трахома
A71.1,Активен стадий на трахома
A71.9,"Трахома, неуточнена"
A74,"Други болести, предизвикани  от хламидии"
A74.0,Хламидиен конюнктивит (Н13.1*)
A74.8,Други хламидийни болести
A74.9,"Хламидийна инфекция, неуточнена"
A75,Петнист тиф
A75.0,"Епидемичен въшков петнист тиф, предизвикан от Rickettsia prowazekii"
A75.1,Рецидивиращ тиф [болест на Brill]
A75.2,"Тиф, предизвикан от Rickettsia typhi"
A75.3,"Тиф, предизвикан от Rickettsia tsutsugamushi"
A75.9,"Петнист тиф, неуточнен"
A77,Петниста треска [кърлежови рикетсиози]
A77.0,"Петниста треска, предизвикана от Rickettsia rickettsii"
A77.1,"Петниста треска, предизвикана от Rickettsia conorii"
A77.2,"Петниста треска, предизвикана от Rickettsia siberica"
A77.3,"Петниста треска, предизвикана от Rickettsia australis"
A77.8,Други петнисти трески
A77.9,"Петниста треска, неуточнена"
A78,Ку-треска
A79,Други рикетсиози
A79.0,Окопна треска
A79.1,"Вариолоподобна рикетсиоза, предизвикана от Rickettsia akari"
A79.8,Други уточнени рикетсиози
A79.9,"Рикетсиоза, неуточнена"
A80,Остър полиомиелит
A80.0,"Остър паралитичен полиомиелит, свързан с ваксина"
A80.1,"Остър паралитичен полиомиелит, предизвикан от внесен див вирус"
A80.2,"Остър паралитичен полиомиелит, предизвикан от див природен вирус"
A80.3,"Остър паралитичен полиомиелит, друг и неуточнен"
A80.4,Остър непаралитичен полиомиелит
A80.9,"Остър полиомиелит, неуточнен"
A81,Атипични вирусни инфекции  на централната нервна система
A81.0,Болест на Creutzfeldt-Jakob
A81.1,Подостър склерозиращ паненцефалит
A81.2,Прогресираща многоогнищна левкоенцефалопатия
A81.8,Други атипични вирусни инфекции на централната нервна система
A81.9,"Атипична вирусна инфекция на централната нервна система, неуточнена"
A82,Бяс
A82.0,Горски бяс
A82.1,Градски бяс
A82.9,"Бяс, неуточнен"
A83,"Вирусен енцефалит, предаван  от комари"
A83.0,Японски енцефалит
A83.1,Западен конски енцефалит
A83.2,Източен конски енцефалит
A83.3,Енцефалит St Louis
A83.4,Австралийски енцефалит
A83.5,Калифорнийски енцефалит
A83.6,"Болест, предизвикана от Rocio-вирус"
A83.8,"Други вирусни енцефалити, предавани от комари"
A83.9,"Вирусен енцефалит, предаван от комари, неуточнен"
A84,"Вирусен енцефалит, предаван от кърлежи"
A84.0,Далекоизточен кърлежов енцефалит [руски пролетно-летен енцефалит]
A84.1,Централноевропейски кърлежов енцефалит
A84.8,Други кърлежови вирусни енцефалити
A84.9,"Кърлежов вирусен енцефалит, неуточнен"
A85,"Други вирусни енцефалити,  некласифицирани другаде"
A85.0,Ентеровирусен енцефалит (G05.1*)
A85.1,Аденовирусен енцефалит (G05.1*)
A85.2,"Вирусен енцефалит, предаван от членестоноги, неуточнен"
A85.8,Други уточнени вирусни енцефалити
A86,"Вирусен енцефалит, неуточнен"
A87,Вирусен менингит
A87.0,Ентеровирусен менингит (G02.0*)
A87.1,Аденовирусен менингит (G02.0*)
A87.2,Лимфоцитарен хориоменингит
A87.8,Друг вирусен менингит
A87.9,"Вирусен менингит, неуточнен"
A88,"Други вирусни инфекции на централната нервна система,  некласифицирани другаде"
A88.0,Ентеровирусна екзантематозна треска [Бостънски екзантем]
A88.1,Епидемично вертиго
A88.8,Други уточнени вирусни инфекции на централната нервна система
A89,"Вирусна инфекция на централната нервна система, неуточнена"
A90,Денга [класическа треска денга]
A91,"Хеморагична треска, предизвикана  от dengue-вирус"
A92,"Други вирусни трески, предавани  от комари"
A92.0,"Болест, предизвикана от Chikungunya-вирус"
A92.1,Треска O'nyong-nyong
A92.2,Венецуелска конска треска
A92.3,Западно-Нилска треска
A92.4,Рифт-Вали треска [на долината Рифт]
A92.8,"Друга уточнена вирусна треска, предавана от комари"
A92.9,"Вирусна треска, предавана от комари, неуточнена"
A93,"Други вирусни трески, предавани от  членестоноги, некласифицирани другаде"
A93.0,"Болест, предизвикана от Оропуш-вирус"
A93.1,Москитова треска
A93.2,Колорадска кърлежова треска
A93.8,"Други уточнени вирусни трески, предавани от членестоноги"
A94,"Вирусна треска, предавана  от членестоноги, неуточнена"
A95,Жълта треска
A95.0,Горска жълта треска
A95.1,Градска жълта треска
A95.9,"Жълта треска, неуточнена"
A96,Аренавирусна хеморагична треска
A96.0,Хеморагична треска Junin
A96.1,Хеморагична треска Machupo
A96.2,Треска Lassa
A96.8,Други аренавирусни хеморагични трески
A96.9,"Аренавирусна хеморагична треска, неуточнена"
A98,"Други вирусни хеморагични трески,  некласифицирани другаде"
A98.0,Кримска хеморагична треска (предизвикана от Конго-вирус)
A98.1,Хеморагична треска Omsk
A98.2,Горска болест Kyasanur
A98.3,Вирусна болест Marburg
A98.4,Хеморагична треска Ebola
A98.5,Хеморагична треска с бъбречен синдром
A98.8,Други уточнени вирусни хеморагични трески
A99,"Вирусна хеморагична треска, неуточнена"
B00,Херпес-вирусни [herpes simplex] инфекции
B00.0,Херпесна екзема
B00.1,Херпес-вирусен везикуларен дерматит
B00.2,Херпес-вирусен гингивостоматит и фаринготонзилит
B00.3,Херпес-вирусен менингит (G02.0*)
B00.4,Херпес-вирусен енцефалит (G05.1*)
B00.5,Херпес-вирусна болест на очите
B00.7,Дисеминирана херпес-вирусна болест
B00.8,Други форми на херпес-вирусна инфекция
B00.9,"Херпес-вирусна инфекция, неуточнена"
B01,Лещенка [varicella]
B01.0,Варицела с менингит (G02.0*)
B01.1,Варицела с енцефалит (G05.1*)
B01.2,Варицела с пневмония (J17.1*)
B01.8,Варицела с други усложнения
B01.9,Варицела без усложнения
B02,Херпес зостер [herpes zoster]
B02.0,Херпес зостер с енцефалит (G05.1*)
B02.1,Херпес зостер с менингит (G02.0*)
B02.2,Херпес зостер с други усложнения на нервната система
B02.3,Херпес зостер с очни усложнения
B02.7,Дисеминирана херпес зостер инфекция
B02.8,Херпес зостер с други усложнения
B02.9,Херпес зостер без усложнения
B03,Вариола1
B04,"Инфекции, предизвикани от вируса  на маймунската вариола"
B05,Брусница
B05.0,"Брусница, усложнена с енцефалит (G05.1*)"
B05.1,"Брусница, усложнена с менингит (G02.0*)"
B05.2,"Брусница, усложнена с пневмония (J17.1*)"
B05.3,"Брусница, усложнена със среден отит (H67.1*)"
B05.4,Брусница с интестинални усложнения
B05.8,Брусница с други усложнения
B05.9,Брусница без усложнения
B06,Рубеола [немска брусница]
B06.0,Рубеола с неврологични усложнения
B06.8,Рубеола с други усложнения
B06.9,Рубеола без усложнения
B08,"Други вирусни инфекции, характеризиращи се с увреждания на кожата и лигавиците, некласифицирани другаде"
B08.0,Други ортопоксвирусни инфекции
B08.1,Контагиозен молускус
B08.2,Внезапна екзантема (шеста болест)
B08.3,Инфекциозен еритем (пета болест)
B08.4,Ентеровирусен везикуларен стоматит с екзантема
B08.5,Ентеровирусен везикуларен фарингит
B08.8,"Други уточнени вирусни инфекции, характеризиращи се с увреждане на кожата и лигавиците"
B09,"Вирусна инфекция, характеризираща се  с увреждане на кожата и лигавиците,  неуточнена"
B15,Остър хепатит А
B15.0,Хепатит А с хепатална кома
B15.9,Хепатит А без хепатална кома
B16,Остър хепатит В
B16.0,Остър хепатит В с делта-агент (коинфекция) с хепатална кома
B16.1,Остър хепатит В с делта-агент (коинфекция) без хепатална кома
B16.2,Остър хепатит В без делта-агент с хепатална кома
B16.9,Остър хепатит В без делта агент и без хепатална кома
B17,Други остри вирусни хепатити
B17.0,Остра делта-(супер)инфекция при хепатит В носителство
B17.1,Остър хепатит С
B17.2,Остър хепатит Е
B17.8,Други уточнени остри вирусни хепатити
B18,Хроничен вирусен хепатит
B18.0,Хроничен вирусен хепатит В с делта-агент
B18.1,Хроничен вирусен хепатит В без делта-агент
B18.2,Хроничен вирусен хепатит С
B18.8,Друг хроничен вирусен хепатит
B18.9,"Хроничен вирусен хепатит, неуточнен"
B19,"Вирусен хепатит, неуточнен"
B19.0,Неуточнен вирусен хепатит с хепатална кома
B19.9,Неуточнен вирусен хепатит без хепатална кома
B20,"Болест, предизвикана от вируса  на човешкия имунодефицит [HIV], проявяваща се като инфекциозни  и паразитни болести"
B20.0,"Болест, предизвикана от HIV, с прояви на микобактериална инфекция"
B20.1,"Болест, предизвикана от HIV, с прояви на други бактериални инфекции"
B20.2,"Болест, предизвикана от HIV, с прояви на цитомегал-вирусно заболяване"
B20.3,"Болест, предизвикана от HIV, с прояви на други вирусни инфекции"
B20.4,"Болест, предизвикана от HIV, с прояви на кандидоза"
B20.5,"Болест, предизвикана от HIV, с прояви на други микози"
B20.6,"Болест, предизвикана от HIV, с прояви на пневмония, предизвикана от Pneumocystis carinii"
B20.7,"Болест, предизвикана от HIV, с прояви на множествени инфекции"
B20.8,"Болест, предизвикана от HIV, с прояви на други инфекциозни и паразитни болести"
B20.9,"Болест, предизвикана от HIV, с прояви на неуточнени инфекциозни и паразитни болести"
B21,"Болест, предизвикана от вируса  на човешкия имунодефицит [HIV], проявяваща се като злокачествени новообразувания"
B21.0,"Болест, предизвикана от HIV, с прояви на Kaposi-сарком"
B21.1,"Болест, предизвикана от HIV, с прояви на Burkitt-лимфом"
B21.2,"Болест, предизвикана от HIV, с прояви на други нехочкинови лимфоми"
B21.3,"Болест, предизвикана от HIV, с прояви на други злокачествени новообразувания на лимфната, кръвотворната и сродните им тъкани"
B21.7,"Болест, предизвикана от HIV, с прояви на множествени злокачествени новообразувания"
B21.8,"Болест, предизвикана от HIV, с прояви на други злокачествени новообразувания"
B21.9,"Болест, предизвикана от HIV, с прояви на неуточнени злокачествени новообразувания"
B22,"Болест, предизвикана от вируса  на човешкия имунодефицит [HIV], проявяваща се като други уточнени болести"
B22.0,"Болест, предизвикана от HIV, с прояви на енцефалопатия"
B22.1,"Болест, предизвикана от HIV, с прояви на лимфен интерстициален пневмонит"
B22.2,"Болест, предизвикана от HIV, с прояви на синдром на изтощение"
B22.7,"Болест, предизвикана от HIV, с прояви на множествени заболявания, класифицирани другаде"
B23,"Болест, предизвикана от вируса  на човешкия имунодефицит [HIV], проявяваща се като други състояния"
B23.0,Остър HIV-инфекциозен синдром
B23.1,"Болест, предизвикана от HIV, с прояви на (персистираща) генерализирана лимфаденопатия"
B23.2,"Болест, предизвикана от HIV, с прояви на хематологични и имунологични нарушения, некласифицирани другаде"
B23.8,"Болест, предизвикана от HIV, с прояви на други уточнени състояния"
B24,"Болест, предизвикана от вируса  на човешкия имунодефицит [HIV], неуточнена"
B25,Цитомегалвирусна болест
B25.0,Цитомегалвирусна пневмония (J17.1*)
B25.1,Цитомегалвирусен хепатит (K77.0*)
B25.2,Цитомегалвирусен панкреатит (K87.1*)
B25.8,Други цитомегалвирусни болести
B25.9,"Цитомегалвирусна болест, неуточнена"
B26,Епидемичен паротит
B26.0,Паротитен орхит (N51.1*)
B26.1,Паротитен менингит (G02.0*)
B26.2,Паротитен енцефалит (G05.1*)
B26.3,Паротитен панкреатит (K87.1*)
B26.8,Епидемичен паротит с други усложнения
B26.9,"Епидемичен паротит, неусложнен"
B27,Инфекциозна мононуклеоза
B27.0,Гама-херпес-вирусна мононуклеоза
B27.1,Цитомегалвирусна мононуклеоза
B27.8,Друга инфекциозна мононуклеоза
B27.9,"Инфекциозна мононуклеоза, неуточнена"
B30,Вирусен конюнктивит
B30.0,"Кератоконюнктивит, предизвикан от аденовирус (H19.2*)"
B30.1,"Конюнктивит, предизвикан от аденовирус (H13.1*)"
B30.2,Вирусен фарингоконюнктивит
B30.3,Остър епидемичен хеморагичен конюнктивит (ентеровирусен) (H13.1*)
B30.8,Друг вирусен конюнктивит (H13.1*)
B30.9,"Вирусен конюнктивит, неуточнен"
B33,"Други вирусни болести, некласифицирани другаде"
B33.0,Епидемична миалгия
B33.1,Ross River болест
B33.2,Вирусен кардит
B33.3,"Ретровирусни инфекции, некласифицирани другаде"
B33.8,Други уточнени вирусни болести
B34,Вирусна инфекция с неуточнена локализация
B34.0,"Аденовирусна инфекция, неуточнена"
B34.1,"Ентеровирусна инфекция, неуточнена"
B34.2,"Коронавирусна инфекция, неуточнена"
B34.3,"Парвовирусна инфекция, неуточнена"
B34.4,"Паповавирусна инфекция, неуточнена"
B34.8,Други вирусни инфекции с неуточнена локализация
B34.9,"Вирусна инфекция, неуточнена"
B35,Дерматофития
B35.0,Микоза на брадата и главата
B35.1,Микоза на ноктите
B35.2,Микоза на ръцете
B35.3,Микоза на стъпалото
B35.4,Микоза на тялото
B35.5,Имбрикативна микоза
B35.6,Ингвинална епидермофития
