A08,гастроентеропатия
E01,нодозна еутиреоидна струма
E01,струма нодоза iІ гр еутиоридес
E01,струма нодоза
E01," нодозна струма , еутиреоидна "
E01,струма нодоза гр1б/ хашимото- в субклиничен хипотиреоидизъм
E01,струма нодоза І б еутироидес хроничен пиелонефрит
E01,струма нодоза І в- еутиреоидно състояние
E01,струма нодоза гр 1б/ еутиреоидес
E01,струма нодоза І б еутироидес
E01,струма нодоза І б гр
E01,нодозна еутиреоидна струма iб ст
E01," струма нодоза гр 1б/ базедовификата - хронично рецидивиращо протичане, в терапевтична ремисия "
E01,струма нодоза І б еутроидес / дд тиреоидт на хашимото-нодозен вариант или тумор регио коли декстра/ желязодефицитна анемия
E01,рецидивна нодозна струма
E01,нодозна струма І б ст
E01,нодозна струма І в ст
E01,нодозна струма Ібст еутиреоидна
E01,нодозна еутиреоидна струма І б ст
E01,струма нодоза Ів - еутиреоидно състояние
E01,струма нодозна гр 2/ базедовификата в непълна терапевтична ремисия
E01," струма нодоза, еутиреоидна "
E01,струма нодоза гр. ii
E01,нодозна струма в еутироидно състояние и е препоръчана оперативна интервенция
E01,струмата е с голяма давност /от детска възраст/
E01,струма нодоза гр 1б/ еутиреоидес / обс
E01,струма нодоза Ів- ст
E01,струма нодоза еутиреоидес
E01,сдтрума нодоза гр
E01,нодозна еутиреоидна струма ІІ ст
E01,нодозна струма ІІ ст
E01,струма нодоза гр. ib
E01,нодозна струма- еутиреоидна
E01,нодозна еутиреоидна струма-Іб ст
E01," І-б, базедовификата, в начална терапевтична ремисия "
E01,струма нодоза І б
E01,струма нодоза ib ст
E01,струма нодоза гр. i b
E01," струма нодоза гр 1б/ базедовификата- средно тежка форма, в субклиничен хипертиреоидизъм "
E01," струма нодоза гр 1б/ базедовификата- средно тежка форма, в терапевтична ремисия "
E01,нодозна рецидивна струма- еутиреоидна
E01," струма нодоза, еутироидес "
E01,струма нодаза
E01," ІІ-ІІІ, базедовификата, активна "
E01," струма нодоза гр1б/базедовификата, в непълна терапевтична ремисия "
E01,струма нодоза гр i b еутироидес
E01,нодозна еутиреоидна струма от І-б степен
E01," І-б, базедовификата в терапевтична ремисия "
E01," струма нодоза гр 2/ базедовификата, в непълна терапевтична ремисия "
E01,струма нодоза рецидива І б гр
E01,струма нодоза гр1б/ рецидива постоператива базедовификата- в начална терапевтична ремисия
E01,струма нодоза гр. ІІ
E01,струма нодоза гр1б/ рецидива постоператива еутиреоидес
E01,струма нодоза І б еутиридес
E01,струма нодоза гр 1б/ базедовификата- акт
E01,струма нодоза гр. Іб
E01,струма нодоза гр 3/ базедовификата
E01,струма нодоза- еутиреоидна
E01,струма нодоза гр. І б
E01,нодозна рецидивна базедовифицирана струма - ІІ ст
E01," нодозна рецидивна струма, еутиреоидна "
E01,струма нодоза еутироидес
E01,струма нодоза Іб
E01,струма нодоза рецидива постоператива
E01,струма нодоза рецидива гр
E01,струма нодоза гр. І-б
E01," струма нодоза І б, еутироидна "
E01,струма нодоза ІІ еутироидес
E01," ІІ, базедовификата, актива"
E01,базедовифицирана нодозна струма - за оперативно лечение
E01,нодозна струма Іб ст
E01,нодозна струма
E01,нодозна струма ib в еутиреоиден стадий
E01," струма пермагна базедовификата, актива"
E01,нодозна струма-еутиреоидно състояние
E01,струма нодоза рецидива
E01,нодозна рецидивна еутироидна струма І б
E01,нодозна рецидивна струма
E01,струма нодоза -ii ст
E01,струма нодоза _ І б еутиреоидес
E01,струма нодоза гр 1б/ рецидива постоператива- еутиреоидна
E01," струма нодоза гр 1б/ базедовификата- средно тежка форма, акт "
E01," струма нодоза рецидива, еутироидес "
E01,струма полинодоза гр. І-б
E01,струма нодоза гр. ii. а
E01,струма нодоза І б еутироидна
E01,струма нодоза гр. 1б
E01,нодозна еутиреоидна струма Ібст
E01,нодозна струма iiiст
E01,тиреоидеа про струма нодоза
E01,струма нодоза рецидива гр. i b
E01,нодозна струма Ібст
E01,струма нодоза ІІ гр
E01,нодозна еутиреоидна струма- 2ст
E01,струма нодоза І бгр еутироидес
E01,нодозна еутиреоидна струма iбст
E01,нодозна струма ІІст
E01,базедовифицирана нодозна струма
E01,струма нодоза рецидива гр. ii
E01,струма нодоза І б рецидива еутироидес
E01,нодозна еутиридна струма ІІгр
E01,нодозна струма ІІІ ст-частично ретростернална
E01,струма нодоза гр. iб. ибс
E01,нодозна еутиреоидна струма 1бст
E01,нодозна струма гр. 1б
E01,струма нодоза гр б. хобб
E01,струма нодоза гр 1б/ в субклиничен хипертиреоидизъм
E01,струма нодоза гр ii
E01,струма нодоза гр І б рецидива /еутироидес/
E01,струма нодоза рецидива І б гр еутироидес
E01,струма нодоза гр 1б/ хашимото - еутиреоидна фаза
E01,нодозна еутиреоидна струма І бст
E01," ІІІ, базедовификата (типус аденома токсикум) - в терапевтична ремисия "
E01,струма нодоза гр 1б/ базедовификата- средно тежка форма
E01,рецидивна нодозна струма-еутиреоидна
E01,струма нозоза гр. ii
E01,нодозна струма гр iб
E01,нодозна струма-Іб
E01,нодозна еутиреоидна струма Іб ст
E01,струма нодоза гр 1б/-2/ еутиреоидес
E01," струма нодоза рецидива, хипотиреоидна фаза "
E01,нодозна струма i в ст
E01,струма нодоза гр. iа
E01," струма нодоза гр Іб базедовификата (тип марин-ленарт), с хронично протрахирано протичане, фаза на субклиничен хипотиреоидизъм "
E01," налице е нодозна еутиреоидна струма, която ще подлежи на оперативно лечение "
E01,струма нодоза Іб гр
E01,струма нодоза рецидива гр iв
E01,нодозна струма - еутиреоидна
E01,струма нодоза ІІ ст
E01,базедовифицирана нодозна струма-тип базедов боолест
E01,струма нодоза Іб ст
E01,струма нодоза гр. iб
E01,струма нодоза i б еутиреоида
E01,струма нодоза гр 1б/ базедовификата- в начална терапевтична ремисия
E01,нодозна еутироидна струма гр. Іб
E01,струма нодоза гр i б- ii
E01," Іб базедовификата, субклиничен хипертиреоидизъм "
E01,нодозна еутиреоидна струма І-б степен
E01,струма нодоза гр 1б/ - еутиреоидес
E01,струма нодоза гр 1б/ рецидива постоператива- еутиреоидес
E01,струма нодоза І б - еутироидна
E01,струма нодоза рецидива гр. ІІ
E01,рецидивна нодозна струма ІІ б ст
E01," ІІ, базедовификата, ретроклавикуларна, в терапевтична ремисия "
E01,струма нодоза Іб еутироидес
E01,нодозна струма ІІгр
E01,нодозна струма-еутиреоидна фаза
E01,еутиреоидна нодозна струма
E01,нодозна рецидивна струма І б
E01," нодозна струма, еутиреоидна "
E01,струма нодоза ІІгр еутироидес
E01,нодозна еутиреоидна струма гр. i б
E01,струма нодоза гр. ІІ. обс
E01,нодозна еутиреоидна струма- ii ст
E01,нодозна струма гр. Іб
E01,нодозна еутиреоидна струма Іб
E01,струма нодоза гр 1б/ базедовификата- в терапевтична ремисия
E01," І-б, базедовификата, актива "
E01,нодозна струма- 1в ст
E01,нодозна крума ІІ ст
E01,струма нодоза iiст
E01,нодозна еутиреидна струма І-б степен
E01,нодозна токсична струма
E01,струма нодоза гр 1б/ хашимото в хипотиреоидна фаза
E01," базедовифицирана нодозна струма ІІ с-н, клинична и хормонална ремисия "
E01,нодозна еутиреоидна струма гр. 1б
E01,нодозна еутироидна струма ІІгр
E01,струма нодоза ibст
E01,нодозна струма І б еутироидна
E01," струма нодоза рецидива, гр "
E01,струма нодоза рецидива гр1б/ постоператива
E01,нодозна струма ibст
E01," нодозна струма- І бгр, еутироидна "
E01,струма нодоза гр 1б/ хашимото в еутиреоидна фаза
E01,нодозна струма 2 ст /еутиреоидна/
E01,струма нодоза рецидива постоператива базедовификата в непълна терапевтична ремисия
E01,струма нодоза iб ст еутироидна
E01," нодозен вариант, еутиреоидна фаза "
E01,струма полинодоза гр
E01,нодозна
E01,струма нодоза гр І б
E01,струма нодоза резидива гр
E01,струма нодоза рецидива постоператива гр 1б/ еутиреоидес
E01,нодозна рецидивна струма 1б-постоперативен хипотиреоидизъм
E01,рецидивна нодозна струма гр. 1б
E01,нодозна еутроидна струма ІІгр. хобб
E01,нодозна еутиреоидна струма 1б ст
E01," нодозна струма ІІгр, еутироидна "
E01,нодозна струма Ібст - субкомпенсиран хипотиреоидизъм
E01,струма нодоза ib-еутиреодидна
E01," струма нодоза гр 1б/ хашимото в хипотиреоидна фаза, компенсирано състояние "
E01," струма нодоза гр 1б/, еутиреоидес "
E01,струма нодоза гр 1б/ рецидива постоператива еутиреоидес
E01,струма нодоза - еутиреоидна
E01,нодозна еутиреоидна струма - i б степен
E01,струма нодоза ІІгр еутиродес
E01," струма нодоза гр 1б/-2 базедовификата, в начална терапевтична ремисия "
E01," нодозна струма iб степен, еутиреоидна "
E01,струма нодаза гр. ІІ
E01,нодозна еутиреоидна струма iб степен
E01,нодозна струма- ІІст
E01,нодозна еутиреоидна струма i б ст
E01,струма нодоза 1б-еутиреоидно състояние
E01,нодозна струма- iб ст
E01,тиреоидее проптер струма нодоза
E01,струма нодоза рецидива - 1б
E01,нодозна еутиреоидна струма 1б
E01,нодозна струма 1в ст
E01," полинодозна струма от І-б степен, с начална базедовификация "
E01,еутирероидна нодозна струма
E01,рецидивна нодозна струма ІІгр
E01,нодозна еутиероидна струма ІІ степен
E01,нодозна еутиреоидна струма Іб степен
E01,струма нодоза Ів-еутиреоидна
E01,базедофицираща нодозна струма тип марин - ленар
E01,полинодозна струма
E01,струма нодоза гр iб еутироидна
E01,нодозна струма iб в еутиреоиден стадий
E01,нодозна еутиреоидна рецидивна струма
E01,струма нодоза ??ст
E01,нодозна струмаІІст
E01,струма нодоза І б рецидива
E01,нодозна еутириоидна струма
E01,струма нодоза рецидива ІІгр
E01,еутиреоидна нодозна струма iб ст
E01,струма нодоза i б
E01,нодозна еутиреоидна струма i б степен
E01,струма нодоза еутироидна ІІ гр
E01,нодозна еутиреоидна струма гр. 1 б
E01,струма нодоза 1в ст
E01,струма нодоза гр iб- еутиреоидна
E01,нодозна струма Іб еутиреоидна
E01,нодозна еутиреоидна струма 1в ст
E01,нодозна еутиреоидна струма-ІІ ст
E01,струма нодоза iб-еутиреоидес
E01,струма нодоза ii степен
E01,нодозна еутиреоидна струма ІІІ степен
E01,нодозна струма 2ст
E01,нодозна еутиреидна струма от І-б степен
E01,нодозна рецидивна струма-еутиреоидна
E01,струма нодоза рецидива І б
E01,струма нодоза гр. ?б
E01,нодозна еутиреоидна струма І б гр
E01,струма нодоза гр. ??
E01,струма нодоза рецидива 1б
E01,струма нодоза рецидива гр i б
E01,нодозна струма ст ib - еутироидна
E01," струма нодоза І б, еутиоридна "
E01,нодозна струма- І б ст
E01,струма нодоза І І бгр- еутироидна
E01,струма нодоза гр. ??. обс
E01,нодозна еутиреоидна срума от І-б степен
E01,нодозна струма-iб степен
E01,нодозна еутиреоидна струма ІІ степен
E01,струма нодоза- рецидив
E01,нодозна еутиреоидна струма І б степен
E01," нодозна, рецидивна еутиреоидна струма "
E01,струма ноодоза гр
E01,струма нодоза гр iб- еутиреоидно състояние
E01,нодозна еутиреоидна рецидивна струма от І-б степен
E01,струма нодоза 1б- еутиреоидно състояние
E01,струма нодоза гр Іб еутироидес
E01,струма нодоза І б гр еутиодно
E01," нодозна струма iб ст, еутиреоидна фаза "
E01,струма нодоза рецидива І б еутироидна
E01,струма нодоза І б еутиродна
E01,нодозна рецидивна еутиреоидна струма
E01,нодозна еутиреоидна струма 1б ст. хобб
E01,нодозна рецидивна струма/ретростернална/
E01,нодозна еутиреоидна струма- i б степен
E01,струмя нодоза гр
E01,струма нодоза ІІгр еутироидна
E01,струма нодоза 1б
E01,нодозен вариант
E01,нодозна струма iб степен
E01,струма нодоза І б гр еутироидес
E01,струма нодоза- еутиреоидно състояние
E01,струма нодоза 1б - еутиреоидно състояние
E01," струма нодоза гр 1б/ хашимото- хипотиреоидна фаза, компенсирано състояние "
E01,струма нодоза iб
E01,нодозна еутироидна струма ii ст
E01,нодозна струма І б еутиоридна
E01,еутиреоидна нодозна струма-Ібст
E01,струма нодоза гр i б
E01,еутиреоидна нодозна струма гр. iб
E01,нодозна струма ІІІ степен
E01,ІІгр струма дифуза iб гр-еутиреоидна
E01,про струма нодоза / окултен са на щит
E01," базедовифицирана нодозна струма ІІ степен, средно-тежка форма "
E01,струма нодоза гр. І
E01,струма нодоза 1б ст
E01,нодозна еутиреоидна струма първа б ст
E01,струма нодоза ст iб
E01,струма нодоза рецидива пермагна
E01,струма нодоза 1б ст- еутиреоидно състояние
E01,струма нодоза гр 2/- субклиничен хипертиреоидизъм
E01,струма нодоза гр iб
E01,нодозна еутиреоидна струма гр. І
E01,нодозна еутиреоидна струма-Ібст
E01,нодозна еутиреоидна струма i бст
E01," струма нодоза гр 1б/ базедовификата- средно тежка форма, в начална терапевтична ремисия "
E01,базедовифицирана нодозна струма Іб- ІІст
E01,еутиреоидна нодозна струма -Ібст
E01,рецидивна нодозна струма Іб ст
E01,струма нодоза гр 1б-2/ еутиреоидес
E01,еутиреоидна нодозна струма Ібст
E01,нодозна струма 1бст
E01,струма нодоза гр1б/ еутиреоидес
E01,нодозна еутиреоидна струма- рецидивна
E01,струма нодоза iб степен
E01,рецидивна нодозна базедовифицирана струма Іб - в терапевтична ремисия
E01,полинодозна рецидивна еутиреоидна струма от І-б степен
E01,нодозна струма ii степен
E01,нодозна струма І б степен
E01,струма нодоза 1бст
E01,струма нодоза гр. i б
E01," І-б, базедовификата (типус марин-ленард), в начална терапевтична ремисия "
E01,струма нодоза 1 б
E01,полинодозна еутиреоидна струма
E01,нодозна рецидивна струма-Іб ст
E01,рецидивна полинодозна еутиреоидна струма
E01,нодозна рецидивна еутиреоидна струма-Ібст
E01,нодозна струма 1б ст
E01,нодозна рецидивна дструма от І-б степен
E01,нодозна еутиреоидна рецидивна струма І-б степен
E01,про струма нодоза базедовификата
E01,нодозна струма 1бст-еутиреоидно състояние
E01,струма нодоза gr. i б
E01,струма нодоза рецидива гр. iб
E01," струма нодоза гр 1б/-2 базедовификата, в обострен стадий "
E01,еутиреоидна нодозна струма гр. ??. ах гр. ??
E01,струма нодоза гр. Іi
E01,нодозна еутиреоидна струма 2 ст
E01,нодозна еутиреоидна струма гр. 2
E01,нодозна еутиреоидна струма - iб ст
E01,еутиреоидна нодозна струма гр. ?б
E01," струма нодоза, гр. iб "
E01,нодозна еутиреоидна струма - i б ст
E01,еутиреоидна рецидивна нодозна струма
E01," базедофицирана нодозна струма-iбст, фаза на медикаментозен хипотиреоидизъм "
E01,нодозна еутиреоидна струма гр. 2. обс
E01,нодозна еутиероидна струма
E01,нодозна струма iii ст
E01,струма нодоза гр 1б/ / обс нео гл тир/
E01,нодозна струма 1бст- еутиреоидно състояние
E01,струма нодоза еутиреоидес гр. iб. обс
E01,базедовифицирана нодозна струма-ІІст
E01,нодозна струма гр
E01,нодозна еутироидна струма
E01," І-б, базедовификата (типус марин-ленард), във фаза на медикаментозен хипотиреоидизъм "
E01,еутиреоидна нодозна струма-Іб ст
E02,субклиничен хипотиреоидизъм
E02,субклиничен хипертиреоидизъм
E02,субклиничен хипотиреридизъм
E02,субклиничен хипертиреоидизъм -йод- индуциран
E02,субклиничен медикаментозен хипертиреоидизъм
E03,вроден хипотиреоидизъм
E03,вроден хипопитуитаризъм
E03,компенсиран хипотиреодизъм
E03,компенсиран постоперативен хипотиреоидизъм
E05,ектопична щитовидна жлеза
E06,подостър тиреоидит
E06," подостър тиреоидит, актива "
E06," подостър тиреоидит - активен, хипертиреоидна фаза "
E06,подостър тиреоидит в терапевтична ремисия
E06,подостър тиреоидит във фаза на субклиничен хипотиреоидизъм
E06,подостър тиреоидит на де кервен
E06,автоимунен тиреоидит /хашимото/-еутироидна фаза
E06," автоимунен тиреоидит /на хашимото/, струмозен вариант, еутиреоидна фаза "
E06,автоимунно тироидно заболяване /аитз/
E06," автоимунен тиреоидит, хипотироидна фаза "
E06,автоимунен тиреоидит
E06,автоимунен тиреоидит /еутиреоидна фаза/
E06,автоимунен тиреоидит- в хипотиреоиден стадий
E06,автоимунен тиреоидит- в еутироидно ссътояние
E06,автоимунен тиреоидит в хипотиреоиден стадий
E06,автоимунен тиреоидит- нодозен вариант в еутироидно състояние
E06,автоимунен тиреоидит- в еутироидно състояние
E06," автоимунен тиреоидит-в хипотиреоиден стадий, медикаментозно компенсиран "
E06," автоимунен тиреоидит- в хипотиреоиден стадий, медикаментозно компенсиран "
E06,автоимунен тиреоидит /хашимото/ - еутироидна фаза
E06," автоимунен тиреоидит - нодозен вариант в хипотиреоиден стадий, медикаментозно компенсиран "
E06,автоимунен тиреоидит - в хипотиреоиден стадий
E06,автоимунен тиреоидит -в хипотиреоиден стадий
E06,автоимунен тиреоидит в еутироидно състояние
E06," автоимунен тиреоидит /нодозен вариант/, еутироидна фаза "
E06,автоимунен тиреоидит в хипотиреоиден стадий- медикаментозно компенсиран
E06,автоимунен тиреоидит - еутироидна фаза
E06,автоимунен тиреоидит - първичен хипотиреоидизъм
E06,автоимунен тиреоидит /хашимото/
E06,автоимунен тиреоидит/
E06," автоимунен тиреоидит нодозен вариант, субклиничен хипотиреоидизъм "
E06,автоимунен тиреидит
E06,автоимунен тиреоидит - субклиничен хипотиреоидизъм
E06,автоимунен тиреоидит - фаза на субклиничен хипотиреоидизъм
E06,автоимунен тиреоидит - хипотиреоидна фаза
E06,автоимунен хипотиреоидизъм
E06,автоимунен тиероидит в еутироидно състояние
E06,автоимунен тиреоидит - в еутироидно състояние
E06,автоимунен тиреоидит-нодозен вариант в еутироидно състояние
E06," автоимунен тиреоидит в хипотиреоидна фаза, медикаментозно компенсиран "
E06,автоимунен тиреоидит- нодозен вариант- в хипотиреиден стадий
E06,автоимунен тиреоидит- хипотиреоидна фаза
E06,автоимунен тиреоидит-- нодозен вариант- в хипотиреоиден стадий
E06," автоимунен тиреоидит-нодозен вариант в хипотиреоиден стадий, медикаментозно компенсиран "
E06," автоимунен тиреоидит в хипотиреоиден стадий, "
E06,автоимунен тиреоидит-нодозен вариант
E06,автоимунен тиреоидит- хипотиреоиден стадий
E06,автоимунен тиероидит- в хипотиреоиден стадий
E06," автоимунен тиреоидит- в хипотиреоиден стадий, некомпенсиран "
E06,автоимунен тиреоидит - нодозен вариант- в хипотиреоиден стадий
E06,автоимунен тиреоидит- нодозен вариант
E06,автоимунен тиреоидит- нодозен вариант в хипотиреоиден стадий
E06,автоимунен хитотиреоидизъм
E06,автоимунен тиреоидит- нодозен вариант в еутиреоидно състояние
E06," автоимунен хипотиреоидизъм, компенсиран "
E06," автоимунен тиреоидит-в хипотиреоиден стадий, некомпенсиран "
E06," автоимунен тиреоидит- в хипотиреоиден стадий, медикаметнозно компенсиран "
E06,автоимунен тиреоидит-нодозен вариант в хипотиреоиден стадий
E06," автоимунен тиреоидит - нодозен вариант, имунологично негативен в еутиреоиден стадий "
E06,автоимунен тиреоидит-в хипотиреоиден стадий
E06,автоимунен тиреоидит - нодозен вариант в еутиреоидно състояние
E06," автоимунен тиреоидит- нодозен вариант, в хипотиреоиден стадий "
E06,автоимунен тиреоидит на хашимото
E06,автоимунен тиреоидит- нодозен вариант в хипотиреоиден стадий /некомпенсиран/
E06," автоимунен тиреоидит -в хипотиреоиден стадий, некомпенсиран "
E06," автоимунен тиреоидит - в хипотиреоиден стадий, медикаментозно компенсиран "
E06,автоимунен тиреоидит - нодозен вариант в еутироидно състояние
E06," автоимунен тиреоидит - базедова болест, дд хашитоксикоза "
E06,автоимунен тиреоидит -нодозен вариант в еутироидно сътояние
E06," автоимунен тиреоидит-нодозен вариант, еутиреоидна фаза "
E06," автоимунен тиреоидит-хипотиреоиден стадий, в медикаментозен хипертиреоидизъм "
E06,автоимунен тиреоидит- нодозен вариант в еутиреоиден стадий
E06," автоимунен тиреоидит- в хипотиреоиден стадий, медикаментозно некомпенсиран артериална хипертониа ІІгр. ибс "
E06," автоимунен тиреоидит, нодозен вариант в хипотиреоиден стадий "
E06,автоимунен тиреоидит във фаза на субклиничен хипотиреоидизъм
E06,автоимунен тиреоидит- нодозен вариант в хипертиреоиден стадий
E06,автоимунен тиреоидит в еутиреоиден стадий
E06," автоимунен тиреоидит- нодозен вариант, в еутиреоиден стадий "
E06," автоимунен тиреоидит- нодозен вариант, в еутироидно състояние "
E06," автоимунно тиреоидно заболяване, еутиреоиден стадий "
E06,автоимунен тиреоидит- в хипотиреоиден стадий /медикаментозно некомпенсиран/
E06,автоимунен тиреоидит- нодозен вариант в еутиродно състояние
E06,медикаментозен хипотиреоидизъм
E07,други разстройства на паращитовидните жлези
E07,други уточнени болести на щитовидната жлеза
E10,инсулинозависим захарен диабет
E20,псевдохипопаратиреодизъм
E20,псевдопсевдохипопаратиреоидизъм
E20,псевдохипопаратиреоидизъм
E20,псевдохипопаратиреоидизъм тип І-б
E21," първичен хиперпаратиреоидизъм, постоперативен рецидив "
E21,първичен хиперпаратиреоидизъм
E21,хипертиреоидизъм- суклиничен
E21,хипертониа артериалис гр. ІІ
E21,хиперпаратиреоидизъм / функционален /
E21,хиперпаратиреоидизъм
E21,хипертиреоидизъм
E21,хиперпаратиреоидизъм при аденом на долна дясна паращитовидна жлеза
E21,вторичен хиперпаратиреоидизъм
E21,вторичен хиперпаратиреоидизъм- функционален
E21,вторичен хиперпаратиреодизъм
E21,вторичен хиперпаратиреоидизъм с бъбречен произход
E21,вторичен хиперпаратиероидизъм
E21,вторичен хихерпаратиреоидизъм
E21,вторичен хиперпаратиреидизъм с бъбречен произход
E21,други форми на хиперпаратиреоидизъм
E21,други уточнени форми на хиперпаратиреодизъм
E21,други форми на хиперпаратиреоидзъм
E21,други уточнени форми на хиперрпаратиреоидизъм
E21,други уточнени разстройства на паращитовидните жлези
E22,акромегалия
E22,акромегалия актива състояние след трансфеноидална реаденомектомия и лъчетерапия
E22,акромегалия актива
E22,акромегалия- ремисия
E22,акромегалия /новооткрита/
E22,акромегалия - активна
E22,акромегалия - ремисия
E22,акромегалия-активна
E22,акромегалия-в ремисия
E22,акромегалия (активна)
E22,гигантоакромегалия актива
E22,акромегалия- активна
E22,акромегалия -акивна
E22,акромегаия - ремисия
E22,акромегалия-ремисия
E22,акромегалия-актива
E22,акромегалия-непълна ремисия
E22,акромагелия
E22,акромегална кардиомиопатия
E22,акромегалия- в ремисия
E22," акромегалия-актива, състояние след транссфеноидална аденомектомия "
E22,акромегалия-неактивна
E22,акромегалия- актива
E22,активна акромегалия
E22,гигантоакромегалия актива /фамилна форма
E22,акромегалия актива /макроаденом на хипофизата/
E22,акромегалия - ремисия
E22,акромегалия - активна фаза състояние след трансфеноидална аденомектомия рецидивна туморна формация
E22,акромегалия състояние след трансфеноидална аденомектомия тиреоидит на хашимото - нодозен вариант
E22,акромегалия хипопитуитаризъм / вторичен хипотиреоидизъм/ дифузна струма i б степен
E22,акромегалия състояние след трансфеноидална акромегалия захарен диабет тип 2 хиперпаратиреоидизъм
E22,акромегалия-медикаментозна ремисия
E22,акромегалия-състояние след транссфеноидална аденомектомия
E22," акромегалия - активна, хипофизен макроаденом състояние след две транссфеноидални аденомектомии и телегаматерапия "
E22,акромегалия - активна форма
E22,акромегалия - неактивна форма струма нодоза i б
E22,акромегалия - активна форма състояние след трансфеноидална аденомектомия състояние след краниотомия по повод астроцитом на малкия мозък
E22,акромегалия - активна форма
E22,акромегалия еутиреоидна нодозна струма
E22,акромегалия в ремисия
E22,акромегалия актива- новооткрита
E22,акромегалия в терапевтична реммисия
E22,акромегалия-новооткрита
E22,акромегалия- непълна терапевтична ремисия
E22," акромегалия състояние след трансфеноидална аденомектомия метаболитен синдром / обезитет, артериална хипертония, нарушена гликемия на гладно/ "
E22,акромегалия - ремисия състояние след трансфеноидална аденомектомия захарен диабет тип 2
E22,акромегалия състояние след 2 трансфеноидална аденомектомии еутиреоидна нодозна струма
E22," акромегалия, ремисия "
E22,акромегалия полинодозна струма
E22,акромегалия- състояние след краниотомия и транссфеноидална аденомектомия
E22," акромегалия - състояние след трансфеноидална аденомектомия нодозна струма метаболитен синдсром / инсулинова резистентност , обезитет, дислипидемия/ "
E22,акромегалия - ремисия на фона на лечение със сандостатин лар
E22,акромегалия - активна фаза състояние след трансфеноидална аденомектомия вторичен хипотиреоидизъм нарушен глюкозен толеранс киста на щитовидната жлеза
E22,пролактин
E22,пролакитном
E22,други хиперфункции на хипофизата
