icd,Latin,Transliterated
G60,CMT1X,кмт1кс
G60,CMT4X,кмт4кс
G60,CMTX4,кмткс4
G60,NADMR,надмр
G60,NAMSD,намсд
D80,HIGM3,хигм3
D80,HIGM2,хигм2
D80,HIGM5,хигм5
D80,HIGM4,хигм4
H35,LCA13,лка13
M32,lupus,лупус
Q81,EBSDM,ебсдм
Q81,EBSOG,ебсог
Q81,EBSMD,ебсмд
Q81,MDEBS,мдебс
G11,SCA34,ска34
G31,FENIB,фениб
E88,FPLD3,фплд3
Q87,FGLDS,фглдс
E75,ML IV,ML IV
A80,Polia,полиа
A80,polio,полио
E76,MPSIX,мпсикс
G71,DMDA2,дмда2
H35,LCA10,лка10
H35,LCA12,лка12
Q77,SRTD1,сртд1
Q77,SRTD2,сртд2
E22,SIADH,сиадх
C85,PMLCL,пмлкл
C83,PMLCL,пмлкл
E10,IDDM9,иддм9
G12,SMAFK,змафк
Q87,MOPD2,мопд2
Q87,MCLMR,мклмр
Q87,MLCRD,млкрд
Q81,GABEB,габеб
C49,MRCLS,мрклс
Q23,AOVD1,аовд1
G71,EDMD2,едмд2
G60,PBD3B,пбд3б
H35,LCA14,лка14
G60,CMT4H,кмт4х
G60,CMT4F,кмт4ф
G60,HMSNR,хмснр
G60,CMT4G,кмт4г
G60,CMT4E,кмт4е
H35,LCA11,лка11
H35,LCA17,лка17
Q12,ARCC2,аркк2
Q12,CTPP1,ктпп1
Q12,CTPP3,ктпп3
Q12,CTPP4,ктпп4
Q12,CTPP2,ктпп2
G71,DMDA1,дмда1
G71,LGMD3,лгмд3
Q87,BRWS1,брвс1
G11,SPG21,спг21
L99,PLCA1,плка1
L99,FPLCA,фплка
E85,PLCA1,плка1
E85,FPLCA,фплка
Q04,PCH2D,пх2д
Q04,PCH10,пх10
G11,SPAX1,спакс1
G11,ARSAL,арзал
G11,SPAX3,спакс3
G11,SPAX4,спакс4
G11,SPAX2,спакс2
G11,SPG58,спг58
G11,SPAX5,спакс5
G11,SPAX7,спакс7
G11,SCA18,ска18
G11,SCA19,ска19
G11,SCA25,ска25
G11,SCA26,ска26
G11,SCA20,ска20
G11,SCA21,ска21
Q80,ARCI1,арци1
E72,CCDS2,ккдс2
D80,SIgMD,сигмд
G23,PARK9,парк9
E24,PPNAD,ппнад
E71,SCADD,скадд
G11,SCA36,ска36
G11,SCA37,ска37
G11,SCA38,ска38
G11,SCA40,ска40
G11,SCA10,ска10
G11,SCA11,ска11
G11,SCA15,ска15
G11,SCA12,ска12
G11,SCA14,ска14
G11,SCA27,ска27
G11,SCA17,ска17
G11,SCA23,ска23
G11,SCA28,ска28
G24,DYT18,дит18
F01,Casil,казил
Q80,ARCI5,арци5
Q80,ARCI8,арци8
Q80,ARCI9,арци9
Q80,ARCI6,арци6
Q80,ARCI7,арци7
I42,CMD1C,кмд1к
I42,CMDC1,кмдк1
I42,CMD1D,кмд1д
D69,STRMK,стрмк
H35,PPCRA,ппкра
H35,PPRCA,ппрка
H26,HRFTC,хрфтк
Q77,SEMDG,семдг
I47,CPVT1,кпвт1
I47,CVPT1,квпт1
I47,CPVT2,кпвт2
I47,CVPT2,квпт2
I47,CPVT5,кпвт5
I47,CVPT5,квпт5
I47,CPVT3,кпвт3
I47,CVPT3,квпт3
I47,CPVT4,кпвт4
I47,CVPT4,квпт4
H90,AUNA1,ауна1
H90,NSDAN,нсдан
G25,HKPX1,хкпкс1
G25,HKPX2,хкпкс2
G11,ATCAY,аткаи
G25,HKPX3,хкпкс3
D47,LPFS2,лпфс2
Q80,ARCI2,арци2
Q80,NCIE1,нцие1
D47,LPFS1,лпфс1
Q80,ARCI3,арци3
Q80,ICR2B,икр2б
Q77,OSMED,озмед
Q60,PAPRS,папрс
I42,CMD1M,кмд1м
I42,CMD1S,кмд1с
I42,CMD1O,кмд1о
I42,CMD1T,кмд1т
I42,CMD1Y,кмд1и
I42,CMD1U,кмд1у
I42,CMD1R,кмд1р
I42,CMD3B,кмд3б
I42,CMD2A,кмд2а
G60,CMT1A,кмт1а
G60,CMT1B,кмт1б
H90,DFNB2,дфнб2
C64,ChRCC,хркк
K76,CBAS3,кбас3
K76,BASD3,басд3
K76,BASD2,басд2
K76,CBAS2,кбас2
K76,CBAS1,кбас1
K76,BASD1,басд1
Q87,SCKL7,сккл7
G11,SCA30,ска30
G11,SCA29,ска29
G11,SCA35,ска35
P70,Tndm1,тндм1
E71,VLCAD,влкад
Q87,vicis,вицис
G11,SPOAN,споан
H53,PERRS,перрс
I68,HCHWA,ххва
E85,HCHWA,ххва
H90,DFNB9,дфнб9
H90,NRSD9,нрсд9
H90,DFNA8,дфна8
H90,DFNA1,дфна1
H90,LFHL1,лфхл1
H90,DFNB7,дфнб7
H90,DFNB8,дфнб8
H90,NRSD8,нрсд8
H90,DFNA6,дфна6
H90,DFNA9,дфна9
H90,DFNA7,дфна7
Q34,CILD1,цилд1
Q34,CILD3,цилд3
E74,PDHAD,пдхад
H90,DFNB3,дфнб3
H90,NRSD3,нрсд3
C64,MCRCC,мкркк
Q79,EVMPS,евмпс
G11,SCAR2,скар2
A82,Lyssa,лисса
Q87,MEHMO,мехмо
Q87,CSTLO,кстло
Q34,CILD5,цилд5
Q34,CILD8,цилд8
Q34,CILD9,цилд9
Q34,CILD2,цилд2
I42,CMD1V,кмд1в
I42,CMD1I,кмд1и
I42,CMD1H,кмд1х
I42,CMD1G,кмд1г
I42,CMD1L,кмд1л
I42,CDCD2,кдкд2
I42,CMD1E,кмд1е
I42,CMD1Z,кмд1ц
I42,CMD1P,кмд1п
I42,CMD1K,кмд1к
I42,CMD1B,кмд1б
I42,CMD1X,кмд1кс
I42,CMD2B,кмд2б
I42,CMD1Q,кмд1к
I42,CMD1W,кмд1в
G11,SPG10,спг10
G11,SPG11,спг11
G11,SPG12,спг12
G11,SPG13,спг13
G11,SPG14,спг14
G11,SPG15,спг15
G11,SPG16,спг16
G11,SPG17,спг17
G11,IDMDC,IDMDC
G11,SPG18,спг18
G11,SPG19,спг19
G11,Sppx2,сппкс2
G11,SPG24,спг24
E83,HOMG3,хомг3
E83,HOMG5,хомг5
E83,HOMG4,хомг4
E83,HOMG6,хомг6
E83,HOMG2,хомг2
H90,DFNB4,дфнб4
H90,DFNB5,дфнб5
H90,DFNB6,дфнб6
M85,SOST1,сост1
M85,SOST2,сост2
Q20,DTGA1,дтга1
Q20,DTGA3,дтга3
P78,DIAR8,диар8
P78,DIAR7,диар7
P78,DIAR4,диар4
Q80,Pvop2,пвоп2
C81,NSCHL,нсхл
G12,DSMA2,дзма2
G12,dHMNJ,дхмнй
E83,HOMG1,хомг1
E72,CCDS1,ккдс1
Q11,MCOP6,мкоп6
Q11,MCOP7,мкоп7
Q11,MCOP2,мкоп2
Q11,MCOP4,мкоп4
Q15,MCOP5,мкоп5
Q11,MCOP3,мкоп3
Q11,MCOP1,мкоп1
Q11,MCOP8,мкоп8
G71,MDRS1,мдрс1
G71,RSMD1,рсмд1
P78,DIAR3,диар3
P78,DIAR6,диар6
E75,PMLD1,пмлд1
G11,HLD11,хлд11
Q87,MRXST,мрксст
Q87,MRXS7,мрксс7
Q87,MRXSJ,мркссй
G11,SPG25,спг25
G11,SPG26,спг26
G11,SPG27,спг27
G11,SPG28,спг28
G11,SPG29,спг29
G11,SPG30,спг30
G11,SPG31,спг31
G11,SPG32,спг32
G11,SPG34,спг34
G11,SPG35,спг35
G11,SPG36,спг36
G11,SPG37,спг37
G11,SPG38,спг38
G11,SPG39,спг39
G11,SPG3A,спг3а
G24,DYT23,дит23
Q04,CDFES,кдфес
G24,DYT24,дит24
G24,DYT25,дит25
Q87,BWCNS,бвкнс
E72,CCDS3,ккдс3
E72,PSATD,псатд
E72,PSPHD,псфд
E78,FHCB1,фхкб1
E78,FHCB2,фхкб2
Q71,SHFM4,схфм4
Q71,SHFM5,схфм5
G60,SCAN1,скан1
E72,Ocrl1,окрл1
Q34,CILD6,цилд6
Q34,CILD7,цилд7
Q34,CILD4,цилд4
C64,CCRCC,ккркк
G60,CMT1C,кмт1к
Q87,RENS1,ренс1
E72,DCBXA,дкбкза
A98,Ebola,ебола
E74,Glys1,глис1
D72,ALPS4,алпс4
I45,LQT11,лкт11
I45,LQT12,лкт12
I45,LQT13,лкт13
I45,LQT14,лкт14
I45,LQT15,лкт15
E75,CLN4B,клн4б
E75,CLN10,клн10
G20,PARK4,парк4
G71,MDCMC,MDCMC
G71,CMD1B,кмд1б
G71,MDC1B,мдк1б
G71,CMD1A,кмд1а
G71,MDC1A,мдк1а
G71,MDC1D,мдк1д
I45,LQT10,лкт10
Q87,MRXS4,мрксс4
Q87,MRXS9,мрксс9
Q87,MRXSC,мрксск
F72,MRX94,мркс94
F72,MRXSW,мркссв
Q87,MRXSN,мркссн
H90,DFNA5,дфна5
G24,DYT27,дит27
L50,FCAS3,фкас3
G24,DYT21,дит21
E20,HYPOC,хипок
E85,FCAS2,фкас2
G24,DYT13,дит13
E77,CDG2A,кдг2а
E74,GSD15,гсд15
Q78,Aoiii,аоиии
G11,SPG41,спг41
G11,SPG42,спг42
G11,SPG43,спг43
G11,SPG44,спг44
G11,SPG45,спг45
G11,SPG65,спг65
G11,SPG46,спг46
G11,SPG48,спг48
G11,SPG49,спг49
G11,SPG53,спг53
G11,SPG54,спг54
G11,SPG55,спг55
G11,SPG56,спг56
G11,SPG57,спг57
G11,SPG5A,спг5а
Q04,JBTS4,йбтс4
Q61,JBTS4,йбтс4
G60,SCAR1,скар1
G60,SCAN2,скан2
Q87,MRXSA,мрксса
Q70,SYM1A,сим1а
Q27,Vmcm1,вмкм1
Q79,EDSP1,едсп1
D81,IMD17,имд17
C88,IPSID,ипсид
Q77,Rcdp2,ркдп2
Q77,Rcdp3,ркдп3
H18,Ched1,хед1
H18,Ppcd1,ппкд1
H18,Ppcd2,ппкд2
H18,Ppcd3,ппкд3
Q78,OPTA2,опта2
Q78,OPTB6,оптб6
Q78,OPTB7,оптб7
H35,USH1H,усх1х
H35,USH1J,усх1й
H35,USH1K,усх1к
H35,USH2A,усх2а
H35,USH2C,усх2к
H35,USH2D,усх2д
H35,USH3A,усх3а
H35,USH3B,усх3б
G11,FXTAS,фкстас
E75,CLN13,клн13
E75,CLN4A,клн4а
E75,CLN11,клн11
G23,INAD1,инад1
G23,NBIA4,нбиа4
G23,NBIA5,нбиа5
G23,senda,сенда
G11,SPG61,спг61
G11,SPG62,спг62
G11,SPG63,спг63
G11,SPG64,спг64
G11,SPG72,спг72
G11,SPG73,спг73
G11,SPG75,спг75
G11,SPG77,спг77
G11,SPG9A,спг9а
G11,SPG9B,спг9б
H35,USH1C,усх1к
H35,USH1D,усх1д
H35,USH1F,усх1ф
H35,USH1E,усх1е
H35,USH1G,усх1г
H35,EOSRD,еосрд
H35,STGD1,стгд1
G24,DYT17,дит17
G24,DYT16,дит16
G24,DYT12,дит12
H35,MCRPE,мкрпе
H35,MDPT3,мдпт3
E76,MPSII,мпсии
Q84,MNLIX,мнликс
D68,THPH1,тф1
E72,MOCOD,мокод
M35,Rupus,рупус
C11,Npca2,нпка2
E07,TDH2B,тдх2б
G23,Copan,копан
G23,NBIA6,нбиа6
E10,IDDM2,иддм2
E10,IDDM3,иддм3
E10,IDDM4,иддм4
E10,IDDM5,иддм5
E10,IDDM6,иддм6
E10,IDDM7,иддм7
E10,IDDM8,иддм8
G71,MDC1C,мдк1к
Q93,PHMDS,фмдс
D81,Scidx,сцидкс
D81,XSCID,кссцид
Q87,ACPS2,акпс2
G11,DRPLA,дрпла
G12,SMAX1,змакс1
G23,NBIA1,нбиа1
E88,MERRF,меррф
G71,MERRF,меррф
Q77,Semdc,семдк
E72,GCDHD,гкдхд
E74,PNTSU,пнтсу
Q87,SMRXS,смрксс
Q87,MRXSR,мрксср
C83,DLBCL,длбкл
I15,LIDLS,лидлс
G11,SCA13,ска13
G90,HSAN3,хсан3
E88,Melas,мелас
G71,Melas,мелас
Q75,POADS,поадс
E11,NIDDM,ниддм
Q26,TAPVR,тапвр
E71,MGCA3,мгка3
E72,SSADH,ссадх
Q24,ARVC1,арвк1
Q24,ARVD1,арвд1
I42,ARVC1,арвк1
I42,ARVD1,арвд1
Q21,THMD1,тмд1
G11,SPAX6,спакс6
G24,Lubag,лубаг
E74,FBP1D,фбп1д
Q77,Rcdp1,ркдп1
B26,mumps,мумпс
J05,croup,кроуп
D21,myoma,миома
E76,VI MPS,VI мпс
C49,AT / rt,ат / рт
E71,X-BY,кс-би
G37,X-BY,кс-би
B19,C orat,C орат
E31,I mea,I меа
E31,homines I,хоминес I
D44,I mea,I меа
D44,homines I,хоминес I
G12,III sma,III зма
B85,ure foco cancros,уре фоко канкрос
Q79,ut ED,ут ед
Q79,III ED,III ед
E85,Cingam,цингам
E74,V GSD,V гсд
I48,A-MENDACIOLUM,а-мендациолум
Q93,SPECULUM,спекулум
C91,V-HCL,в-хкл
H54,caecus,цаекус
A67,Plnla,плнла
H35,R. XXIV,р. XXIV
E71,V MGA,V мга
E71,V MGA,V мга
G12,hMN VI,хмн VI
K50,Carcinoma,карцинома
Q81,"GLORIA Domine,","глориа домине,"
E76,IX MPS,IX мпс
H35,R. XIX,р. XIX
H35,R. XXXII,р. XXXII
H35,R. XII,р. XII
H35,R. XVIII,р. XVIII
H35,R. XXXV,р. XXXV
H35,R. XXVIII,р. XXVIII
H35,R. XXXIII,р. XXXIII
H35,R. XXVI,р. XXVI
Q98,Y / X0,и / кс0
Q96,Y / X0,и / кс0
H35,R. XVII,р. XVII
H35,R. XXXVI,р. XXXVI
H35,R. XIII,р. XIII
H35,XI R.,XI р.
H35,R. XXIII,р. XXIII
H35,R. XXXIV,р. XXXIV
G71,Dominus CMD,доминус CMD
H35,R. XLI,р. XLI
H35,R. XXIX,р. XXIX
H35,R. XXV,р. XXV
H35,R. XIV,р. XIV
H35,R. XXXI,р. XXXI
E75,D-XIR,д-кзир
D82,II IMD,II IMD
C91,B-C.LL.,б-к.л.
H35,R. XXII,р. XXII
G11,III CPD,III кпд
K64,setius sublicae,сециус сублицае
Q81,H JEB,х йеб
G40,GEFs +,гефс +
E75,"ABC C,","абк к,"
G12,II sma,II зма
L50,tunica Caledonia,туника каледониа
G12,IV ALS,IV алс
E75,II DG,II дг
E75,"IX, CLN","икс, клн"
E74,II GSD,II гсд
Q87,AT Omnia V1,ат омниа в1
E74,VII GSD,VII гсд
D81,arbitrium,арбитриум
E76,II MPS,II мпс
E76,VII MPS,VII мпс
B35,Nunc gaudeant,нунк гаудеант
E74,VI GSD,VI гсд
E77,Roma II,рома II
G72,"III IBM,","III ибм,"
E76,ego MPS,его мпс
F71,Ppm X-,ппм кс-
Q87,NPS I,нпс I
C91,V-HCL,в-хкл
Q77,SADDAN,саддан
Q80,ARCI4B,арци4б
E75,ALXDRD,алксдрд
N91,Amenia,амениа
K52,gastro,гастро
E71,ACADMD,акадмд
G71,IBMPFD,ибмпфд
L30,ECZEMA,екзема
B02,zoster,зостер
G71,LGMD2I,лгмд2и
G71,MDDGC5,мддгк5
Q84,NDNC10,нднк10
G11,SCAR17,скар17
G11,SCAR13,скар13
G11,SCAR11,скар11
Q87,SCAR20,скар20
G11,SCAR19,скар19
G20,PARK15,парк15
E74,GSD9A1,гсд9а1
D69,BDPLT9,бдплт9
H18,CHEDII,хедии
D69,BDPLT3,бдплт3
Q61,NPHP16,нфп16
G11,CAMRQ1,камрк1
I42,ARVD12,арвд12
I42,ARVC12,арвк12
I42,ARVC13,арвк13
I42,ARVD13,арвд13
I42,ARVC10,арвк10
I42,ARVD10,арвд10
I42,ARVC11,арвк11
I42,ARVD11,арвд11
Q87,SRTD10,сртд10
Q77,SRTD10,сртд10
Q77,SRTD13,сртд13
Q04,SRTD14,сртд14
Q77,SRTD11,сртд11
E26,BARTS5,бартс5
G60,CMT2B1,кмт2б1
G60,CMT2A1,кмт2а1
G60,CMT2A2,кмт2а2
G71,MTDPS2,мтдпс2
G71,MTDPS5,мтдпс5
Q87,MCAHS1,мкахс1
Q87,MCAHS2,мкахс2
Q87,MCAHS3,мкахс3
Q87,MRXSSR,мркссср
D47,ALPS2B,алпс2б
Q77,ACMICD,акмикд
G60,CMT2B2,кмт2б2
G60,HMSN2C,хмсн2к
I49,BRGDA9,бргда9
G71,LGMD2Y,лгмд2и
K00,ADHCAI,адхкаи
E26,BARTS1,бартс1
E26,BARTS2,бартс2
E26,BARTS3,бартс3
Q12,CTRCT8,ктркт8
Q12,CTRCT1,ктркт1
Q82,ARCL2D,аркл2д
Q82,ARCL3A,аркл3а
Q82,ARCL1B,аркл1б
Q82,ARCL2B,аркл2б
Q82,ARCL2A,аркл2а
Q82,ARCL1A,аркл1а
Q82,ARCL2C,аркл2к
Q82,ARCL3B,аркл3б
G60,HSAN1B,хсан1б
G60,HSAN1E,хсан1е
G60,HMSN2B,хмсн2б
G60,CMT 2E,кмт 2е
Q12,CTRCT5,ктркт5
Q12,CATCN1,каткн1
Q12,CTRCT7,ктркт7
Q12,CATCN2,каткн2
Q12,CTRCT9,ктркт9
Q12,CTRCT3,ктркт3
Q12,CATCN3,каткн3
E71,MEGDEL,мегдел
G12,SMARD1,змард1
G12,SIANRF,сианрф
Q12,CTRCT2,ктркт2
Q12,CTRCT4,ктркт4
Q77,SRPS2B,српс2б
Q77,SRPS2A,српс2а
D47,ALPS2A,алпс2а
G60,CMT 1F,кмт 1ф
G60,HMSN1D,хмсн1д
E88,MC5DN3,мк5дн3
E88,MC5DN4,мк5дн4
G71,MC5DN2,мк5дн2
G60,CMTRID,кмтрид
G60,CMTRIB,кмтриб
G60,CMTRIA,кмтриа
G60,CMTDIA,кмтдиа
G60,CMTDIF,кмтдиф
G60,CMTDIE,кмтдие
G71,LGMD2N,лгмд2н
G71,MDDGC2,мддгк2
G71,SCARMD,скармд
G71,LGMD2D,лгмд2д
G71,LGMD2E,лгмд2е
G71,LGMD2F,лгмд2ф
G71,LGMD2Q,лгмд2к
G71,LGMD2H,лгмд2х
G71,LGMD2J,лгмд2й
G71,LGMD2R,лгмд2р
G71,MDDGC7,мддгк7
G71,LGMD2U,лгмд2у
G71,LGMD2T,лгмд2т
G71,LGMD1D,лгмд1д
G60,HMSN4D,хмсн4д
G60,CMT4B2,кмт4б2
G60,CMT4B1,кмт4б1
G60,CMT 4B,кмт 4б
G60,CMTDI1,кмтди1
G60,CMTDIB,кмтдиб
G60,CMT4B3,кмт4б3
G60,CMTDIC,кмтдик
G60,CMTDID,кмтдид
G60,CMTRIC,кмтрик
I49,BRGDA1,бргда1
I49,BRGDA2,бргда2
I49,BRGDA5,бргда5
I49,BRGDA3,бргда3
I49,BRGDA4,бргда4
I49,BRGDA8,бргда8
Q12,CTRCT6,ктркт6
I49,BRGDA6,бргда6
I49,BRGDA7,бргда7
G71,LGMD2C,лгмд2к
G71,LGMD2B,лгмд2б
Q87,BBRSAY,ббрзаи
B36,piedra,пиедра
M89,PHOAR1,фоар1
D69,BDPLT4,бдплт4
Q81,JEB-PA,йеб-па
Q87,SBBYSS,сббисс
D69,BDPLT7,бдплт7
E71,ACADSD,акадсд
G11,Asidan,азидан
G11,SCAR10,скар10
G11,CANPMR,канпмр
G71,LGMD2K,лгмд2к
G71,MDDGC1,мддгк1
Q87,PRLMNS,прлмнс
Q80,ARCI10,арци10
Q80,ARCI11,арци11
I42,CMD1CC,кмд1кк
A90,dengue,денгве
G11,SCAR16,скар16
G11,SCAR18,скар18
G11,SCAR15,скар15
G11,SCAR14,скар14
G11,SPARCA,спарка
E71,CMAMMA,кмамма
D69,BDPLT8,бдплт8
Q80,ARCI4A,арци4а
I42,CMD1DD,кмд1дд
I42,CMD1II,кмд1ии
I42,CMD1HH,кмд1хх
I42,CMD1EE,кмд1ее
I42,CMD1BB,кмд1бб
I42,CMD1FF,кмд1фф
G60,HMSN1A,хмсн1а
G60,HMSN1B,хмсн1б
H90,DFNB14,дфнб14
H90,DFNB15,дфнб15
H90,DFNB72,дфнб72
H90,DFNB95,дфнб95
H90,DFNB12,дфнб12
H90,DFNB13,дфнб13
H90,DFNB16,дфнб16
H90,DFNB17,дфнб17
H90,DFNB20,дфнб20
H90,DFNB1A,дфнб1а
H90,DFNB1B,дфнб1б
H90,DFNB21,дфнб21
H90,DFNB22,дфнб22
D35,PRLoma,прлома
E22,PRLoma,прлома
E71,VLCADD,влкадд
Q87,BLCPMG,блкпмг
H90,DFNB86,дфнб86
H90,DFNB91,дфнб91
H90,DFNB88,дфнб88
H90,DFNB89,дфнб89
H90,DFNB97,дфнб97
H90,DFNB98,дфнб98
H90,DFNB93,дфнб93
H90,DFNB96,дфнб96
H90,DFNA11,дфна11
H90,DFNA12,дфна12
H90,DFNA10,дфна10
H90,DFNA13,дфна13
H90,DFNA15,дфна15
H90,DFNB68,дфнб68
H90,DFNB11,дфнб11
H90,DFNB66,дфнб66
H90,DFNB67,дфнб67
H90,DFNB74,дфнб74
H90,DFNB76,дфнб76
H90,DFNB70,дфнб70
H90,DFNB71,дфнб71
