
диагноза,ICD
AIC,Q04
AICARDI СИНДРОМ,Q04
AICARDI СИНДРОМ; AIC,Q04
Агенезия на телесния мозък с хориоретинална аномалия,Q04
Corpus Callosum, агенеза на, с хориоретинална аномалия,Q04
Hb C заболяване,D58
Hb-C заболяване,D58
болест на хемоглобин С,D58
Хемоглобин С заболяване (разстройство),D58
Acanthosis nigricans,L83
Acanthosis nigricans (разстройство),L83
AN - Acanthosis nigricans,L83
Фамилна акантоза нигериканс,L83
Keratosis nigricans,L83
Херксхаймерна болест,L90
първична дифузна атрофия,L90
VP,E80
ПОРФИРИЯ ВАРИЕГАТА,E80
Порфирия пъстра,E80
Порфирия, южноафрикански тип,E80
Дефицит на Ppox,E80
Protocoproporphyria,E80
Недостиг на протопорфириноген оксидаза,E80
Разнообразна порфирия,E80
Разнообразна порфирия (разстройство),E80
Разнообразна порфирия, хомозиготен вариант,E80
Аномалия на Ебщайн,Q22
АНОМАЛИЯ ЕБСТЕЙН,Q22
Аномалия на Ebstein на трикуспидалната клапа,Q22
Болест на Ебщайн,Q22
Ебщайн малформация,Q22
Аномалия (разстройство) на Ебщайн [неясно],Q22
Аномалия на Ебщайн от обща атриовентрикуларна клапа,Q22
Аномалия на Ебщайн на обща атриовентрикуларна клапа (нарушение),Q22
Аномалия на Ебщайн на дясна атриовентрикуларна клапа,Q22
Аномалия на Ебщайн на дясна атриовентрикуларна клапа (нарушение),Q22
Аномалия на Ебщайн от трикуспидна клапа,Q22
Аномалия на Ебщайн от трикуспидна клапа (разстройство),Q22
Епщайнска болест,Q22
увеит,H20
възпаление на увеа,H20
uveaitis,H20
мъжки фактор безплодие,N46
мъжка репродуктивна система безплодие,N46
Синдром на Елатопротеус,Q87
Гигантизъм, Частично, на ръцете и краката, Неви, Хемимипертрофия и макроцефалия,Q87
Синдром на частичен гигантизъм-неви-хемихипертрофия-макроцефалия,Q87
ПРОТЕЙСКИ СИНДРОМ,Q87
Синдром на Wiedemann,Q87
SAD,F93
социално тревожно разстройство,F93
sociophobia,F93
SAD,F40
социално тревожно разстройство,F40
sociophobia,F40
Porphyrinopathy,E80
Порфиринопатия (разстройство),E80
Идиопатична белодробна фиброза, остра фатална форма,J84
ARF,N17
АКИ,N17
остра бъбречна недостатъчност,N17
Остро увреждане на бъбреците - AKI,N17
остра бъбречна недостатъчност,N17
бъбречна недостатъчност, остра,N17
уремично отравяне,N17
депресивна невроза,F34
дистимия,F34
невротична депресия,F34
постоянна тревожна депресия,F34
трайно депресивно разстройство,F34
Cystoisosporiasis,A07
Инфекция от Isospora belli и Isospora hominis,A07
isosporiasis,A07
Isosporosis,A07
Microcephalus,Q02
микроцефалия,Q02
microencephaly,Q02
PAP,J84
Белодробна алвеоларна протеиноза,J84
Наследствена белодробна алвеоларна протеиноза,J84
алвеоларен периостит,M27
Алвеоларен периостит (разстройство),M27
Алвеолит на челюстта,M27
Алвеолит на челюстта (разстройство),M27
Алвеолит на челюстната NOS (разстройство),M27
Сухо гнездо,M27
Гнездо за сухи зъби,M27
челюстен скелет външен алергичен алвеолит,M27
AHD,В67
алвеоларен колоид на черния дроб,В67
alveolococcosis,В67
echinococcus multilocularis,В67
инфекция echinococcus multilocularis,В67
мултилокулна ехинококоза,В67
Мултилокуларен хидатид,В67
малка лисица тения,В67
Синдром на Фишър,G61
Синдром на Фишър,G61
Вариант на Милър-Фишер на синдрома на Гилен-Баре,G61
Краниален вариант на GBS,G61
Краниален вариант на синдрома на Guillain-BarrC),G61
Краниален вариант на синдрома на Гилен-Баре,G61
Синдром на Фишър (разстройство),G61
Синдром на Гилен Баре, вариант на Милър Фишър,G61
Синдром на Гилен-Баре, вариант на Милър Фишър,G61
Вариант на Милър Фишер от синдрома на Гилен Баре,G61
Синдром на Милър-Фишър,G61
Синдром на офталмоплегия, атаксия и арефлексия,G61
Синдром, Фишър,G61
Синдром, Милър Фишър,G61
Синдром, Милър-Фишър,G61
Granuloma annulare,L92
Granuloma annulare (разстройство),L92
Granulome annulare,L92
18 тризомия,Q91
Хромосома 18 дублиране,Q91
Пълна синдром на тризомия 18,Q91
Синдром на пълна тризомия 18 (разстройство),Q91
E3 Тризомия,Q91
Болест на Едуардс,Q91
Синдром на Едуардс,Q91
тризомия 18,Q91
Тризомия тип 18,Q91
Болест на Каки Ричи,Q61
Болест на Каки-Ричи,Q61
Синдром на Каки-Ричи,Q61
Кистозна дилатация на бъбречносъбиращите епруветки,Q61
медуларен гъба бъбрек,Q61
Медуларен гъба бъбрек (разстройство),Q61
MSK,Q61
Прекална каналикуларна ектазия,Q61
Прекалицеална каналикуларна ектазия,Q61
Спондж бъбрек,Q61
ARCUS CORNEAE,H18
Аркус на роговицата,H18
Аркус на роговицата (разстройство),H18
Аркус Сенилис,H18
рогови аркус,H18
остър апендицит,K37
остър апендицит с генерализиран перитонит,K37
остър апендицит с генерализиран перитонит (разстройство),K37
остър апендицит с перитонеален абсцес,K37
остър апендицит с перитонеален абсцес (нарушение),K37
epityphlitis,K37
вермиформен възпаление на апендикса,K37
вермиформен апендиксит,K37
Вродена миопатия,G71
хиперплазия на мастоцитите,D89
хиперплазия на мастоцитите,D47
хиперплазия на мастоцитите,Q82
хрема,J30
възпаление на лигавицата на носната кухина,J30
мукозаит на носната кухина,J30
WD,E83
Болест на Уилсън,E83
Церебрална псевдосклероза,E83
Церебрална псевдосклероза (разстройство),E83
хепатолентикулна дегенерация,E83
Вестфалична псевдосклероза,E83
Синдром на Вестфал-Струмпел,E83
Синдром на Вестфал-Струмпел (разстройство),E83
Болест на Уилсън,E83
Вятърни,E83
здравна тревожност,F45
здравна фобия,F45
хипохондрия,F45
хипохондрик,F45
хипохондрично разстройство,F45
хипохондрична невроза,F45
церебрална артериовенозна малформация,Q28
Церебрална артериовенозна малформацияï¼šAVM,Q28
Церебрални артериовенозни малформации,Q28
вътречерепна артериовенозна малформация,Q28
Интракраниален кръвоизлив 1N мозъчни артериовенозни малформации, податливост на,Q28
кожна шистосомоза,B65
Duck Itch,B65
Lake Itch,B65
Изригване на морски къпещ,B65
Изригване на морска къпеща (разстройство),B65
Сърбежът на плувците,B65
Синдром на Жил де ла Турет,F95
GTS,F95
Синдром на Турет,F95
Хронични моторни тикове,F95
Болест на Гинон,F95
нарушение на моторно-вербалния тик,F95
психогенни тикове,F95
Разстройство на Tourette,F95
Артрит или полиартрит, ревматичен,M06
атрофичен артрит,M06
Злокачествен ревматоиден артрит,M06
Ревматоиден артрит,M06
Ревматоиден артрит с васкулит,M06
Синдром на чувствителност към рак Li-Fraumeni,D48
Li-Fraumeni Фамилен синдром на чувствителност към рак,D48
Синдром на Li-Fraumeni,D48
саркома, гърда, левкемия и синдром на надбъбречната жлеза,D48
SBLA синдром,D48
Релаксиращ полихондрит,M94
атрофичен полихондрит,M94
Хондромалация, системна,M94
хроничен атрофичен полихондрит,M94
генерализирана хондромалация,M94
Синдром на Meyenburg-Altherr-Uehlinger,M94
Рецидивиращ полихондрит,M94
Релаксиращ полихондрит: RP,M94
системна хондромалация,M94
Тиреоидит на Хашимото,E06
Хроничен лимфоцитен тиреоидит,E06
Хашимото тиреоидит,E06
Болест на Хашимото,E06
Синдром на Хашимото,E06
Лимфоцитен тиреоидит,E06
Лупус еритематозус,L93
кожна туберкулоза,L93
Лупус еритематозус (разстройство),L93
Лупус еритематозус NOS (разстройство),L93
емфизема,J43
хелминтна инфекция,В83
helminthiases,В83
хелминтоза,В83
хелминтози,В83
инфекция с червеи,В83
хелминтна инфекция,B65
helminthiases,B65
хелминтоза,B65
хелминтози,B65
инфекция с червеи,B65
Сърце предимно в десен хемиторакс,Q24
MPS IV - синдром на Morquio B,E76
мукополизахаридоза IV,E76
chondroosteodystrophy,E76
дефицит на хондроитинсулфатаза,E76
дефицит на N-ацетилгалактозамин-6-сулфатаза,E76
ГАЛАКТОЗАМИН-6-СУЛФАТАЗНА БЕЗОПАСНОСТ,E76
МОРКВИО БОЛЕСТ,E76
Синдром на Morquio A,E76
Синдром на Моркио,E76
MPS IV,E76
MPS IV - синдром на Morquio A,E76
мукополизахаридоза тип IVA,E76
Мукополизахаридоза тип IVB,E76
Мукополизахаридоза, MPS-IV,E76
Мукополизахаридоза, MPS-IV-A,E76
Мукополизахаридоза, MPS-IV-A (разстройство),E76
Osteochondrodystrophy,E76
Спинална мускулна атрофия,G12
гръбначни мускулни атрофии от детството,G12
оцеляване моторни неврони спинална мускулна атрофия,G12
гръбначна мускулна атрофия,G12
Болест на Дарие,E50
Keratosis follicularis,E50
Болест по-бели,E50
Keratosis follicularis (разстройство),E50
Антифосфолипиден синдром,D68
синдром на антифосфолипидно антитяло,D68
Антифосфолипиден синдром (разстройство),D68
Синдром на първично антифосфолипидно антитяло,D68
WS,Q87
WBS,Q87
Синдром на изтриване на хромозома 7Q11.23, 1.5- до 1.8-Mb,Q87
Изтриване 7q11.23,Q87
Синдром на Fanconi Schlesinger,Q87
Монозомия 7q11.23,Q87
Синдром на Уилямс,Q87
УИЛИАМС-БУРЕН СИНДРОМ,Q87
Синдром на Уилямс-Берен (WBS),Q87
WILLIAMS-BEUREN СИНДРОМ; WBS,Q87
Уилямс - синдром на Бюрен, WBS,Q87
холестеатом,Н71
TSD,E75
B вариант GM2 ганглиозидоза,E75
B Вариант Gm2-ганглиозидоза,E75
болест, Тей-Сакс,E75
Ганглиозидоза GM2, тип 1,E75
GM2 ганглиозидоза, вариант B, B1,E75
GM2 ганглиозидоза, тип 1,E75
Gm2-ганглиозидоза, хроничен тип за възрастни,E75
Gm2-ганглиозидоза, тип 1,E75
Gm2-ганглиозидоза, вариант B1,E75
Дефицит на хекса,E75
Недостиг на хексозаминидаза А,E75
Хексозаминидаза дефицит, тип за възрастни,E75
Дефицит на хексозаминидаза алфа-субединица (вариант Б),E75
Сфинголипидоза, Тей-Сакс,E75
ЗАБОЛЯВАНЕ НА ТЯХ-САЧОВЕ,E75
Болест на Тей-Сакс (разстройство),E75
Tay-Sachs заболяване, непълнолетен,E75
Болест на Tay-Sachs, вариант на псевдо-аб,E75
Болест на Tay-Sachs, вариант B1,E75
БОЛЕСТ НА TAY-SACHS; TSD,E75
LIS2,Q04
лисенцефалия 2,Q04
LISSENCEPHALY 2; LIS2,Q04
синдром на лисенцефалия, тип Норман-Робъртс,Q04
Лисенцефалия тип 2,Q04
Микролисенсефалия тип А,Q04
Синдром на Норман-Робъртс,Q04
животински хепатит,K73
хепатит,K73
хроничен хепатит,K73
остра и подостра чернодробна некроза,K73
остра и подостра чернодробна некроза NOS,K73
остра и подостра некроза на черния дроб,K73
остър хепатит,K73
остра / subac. некроза на черния дроб,K73
хроничен персистиращ хепатит,K73
хепатити,K73
възпаление на черния дроб,K73
liveritis,K73
AGAMMAGLOBULINEMIA, X-ВРЪЗКА,D80
Агамаглобулинемия, свързана с X, тип 1,D80
AGAMMAGLOBULINEMIA, X-LINKED; XLA,D80
Дефицит на Брутон агамаглобулинемия тирозин киназа,D80
Агаммаглобулинемия тип Брутон,D80
Агаммаглобулинемия от Брутон,D80
Агамаглобулинемия на Брутон,D80
Агаммаглобулинемия на Брютон,D80
Синдром на Брутон,D80
Агамаглобулинемия тип Брутон,D80
X-свързана агамаглобулинемия на Брутон,D80
Дефицит на BTK,D80
BTK-дефицит,D80
Хипогаммаглобулинемия, свързана с X,D80
Имунодефицит 1,D80
X-свързана агамаглобулинемия,D80
X-свързана агамаглобулинемия (разстройство),D80
XLA,D80
DCM,I42
Фамилна разширена кардиомиопатия,I42
Застойна кардиомиопатия,I42
Идиопатична дилатационна кардиомиопатия,I42
първична дилататна кардиомиопатия,I42
синдром на пълна тризомия 13,Q91
D1 Тризомия,Q91
Синдром на Патау,Q91
Синдром на Патау,Q91
тризомия 13,Q91
Тризомия тип 13,Q91
Еритема от памперс или салфетка,L22
Обрив от пелена или салфетка,L22
обрив от памперс,L22
Пелена обрив (разстройство),L22
Дразнещ контактен дерматит поради контакт с урина и / или изпражнения,L22
Дерматит на Жак,L22
Хемоглобин H заболяване,D56
Алфа таласемия,D56
алфа-таласемия,D56
алфа-таласемия,D56
таласемия алфа,D56
Бета-D-mannosidosis,E77
Бета-D-манозидоза (разстройство),E77
дефицит на бета-манозидаза,E77
Бета-Mannosidosis,E77
дефицит на лизозомна бета-манозидаза,E77
ендокардит,I33
Коремен тиф,A01
коремен тиф,A01
ентерична треска,A01
Треска: [коремен тиф] или [ентеричен],A01
стомашна треска,A01
нервна треска,A01
питогенна треска,A01
бавна треска,A01
коремен тиф,A01
Тифозна треска (разстройство),A01
Тифоидна инфекция,A01
Серповидноклетъчна таласемия с криза,D56
Серповидноклетъчна таласемия без криза,D56
таласемия Hb-S заболяване с криза,D56
таласемия Hb-S болест без криза,D56
LCS,Q82
Синдром на Aagenaes,Q82
Chls,Q82
Синдром на холестазен лимфедем,Q82
Синдром на холестаза-оток, норвежки тип,Q82
Синдром на холестаза-оток, норвежки тип (разстройство),Q82
ХОЛЕСТАЗ-ЛИМФЕДЕМА СИНДРОМ,Q82
LCS1,Q82
Синдром на холестаза на лимфедема,Q82
Синдром на лимфедема-холестаза,Q82
ААС,Q87
Aarskog,Q87
Синдром на Aarskog Scott,Q87
Aarskog синдром,Q87
Aarskog синдром (разстройство),Q87
Aarskog синдром [dup] (разстройство),Q87
Aarskog Syndrome, X-Linked,Q87
Синдром на Aarskog-Scott,Q87
Синдром на Aarskog-Scott, свързан с X,Q87
AARSKOG-SCOTT СИНДРОМ; ААС,Q87
Синдром на Aarskog,Q87
Лицево-дигитален генитален синдром,Q87
Фациодигитогенитален синдром,Q87
Фациогенитална дисплазия,Q87
Фациогенитална дисплазия с нарушение на вниманието-хиперактивност,Q87
СОИ,Q87
Синдром на Грейг,Q87
Умствена изостаналост, X-свързана, синдром 16,Q87
Синдром на скротума на шал,Q87
ISD,F52
HSDD,F52
фригидност,F52
намаляване на сексуалността,F52
подтиска сексуалното желание,F52
Липса или загуба на сексуално желание,F52
kinetosis,T75
МОРСКА БОЛЕСТ,T75
болест на движението (разстройство),T75
болест на движението NOS (разстройство),T75
болест при пътуване,T75
болест при пътуване, неуточнена,T75
болест при пътуване, неуточнена (разстройство),T75
abducens нервна парализа на черепния нерв,H49
abducens нервно заболяване,H49
Abducens нервно разстройство,H49
Abducens нервна слабост,H49
ВЪВЕДЕНИЕ НА ПАЛСИЯ,H49
Парализа на нервната нерв,H49
нарушение на отвлечения нерв,H49
Латерална пареза за денервация на мускулите на ректуса,H49
Нарушение на мускулната инервация на латерален ректус,H49
Шесто разстройство на черепния нерв,H49
Шесто разстройство на черепния нерв, NOS,H49
Шеста нервна парализа,H49
Шеста нервна парализа (разстройство),H49
Шеста нервна парализа,H49
Шеста или абдуцирана нервна парализа,H49
VI разстройство на нервите,H49
Парализа на VI нерв,H49
ЛИМФОМА, АСОЦИИРАН ЛИМФОИДЕН ТИП, МУКОЗА,C88
Лимфом на MALT,C88
МАЛТ лимфом, HL,C88
Малцова лимфом,C88
MALToma,C88
Лимфома, свързана с лигавицата на лигавицата,C88
лимфоидна лимфоидна тъкан, свързана с лигавицата,C88
TIA,G45
Преходни исхемични атаки,G45
Преходна церебрална исхемия,G45
Атака, преходна исхемия,G45
Исхемична атака, преходна,G45
TIA - Преходна исхемична атака,G45
Преходна церебрална исхемия,G45
Преходна мозъчна исхемия NOS,G45
Преходна церебрална исхемия (разстройство) [неясно],G45
преходна исхемична атака,G45
Преходни исхемични атаки (разстройство),G45
Синдром на Прадер-Вили,Q87
PWS,Q87
Синдром на Прадер Уили,Q87
Синдром на амбра,L68
хипертрихоза (разстройство),L68
хипертрихоза NOS (разстройство),L68
hypertricosis,L68
синдром на върколак,L68
синдром на предното отделение,M76
Bangungut,I49
Бругада тип идиопатична камерна фибрилация,I49
Сън болест,I49
Синдром на Pokkuri смърт,I49
синдром на внезапна необяснима нощна смърт,I49
Sunds,I49
холангит,K83
остър холангит,K83
остър холангит (разстройство),K83
хронично гонококово инфекциозно заболяване на долните пикочо-полови пътища,A54
хронично гонококово инфекциозно заболяване на горните пикочо-полови пътища,A54
гонорея,A54
плесницата,A54
Глиобластом със саркоматозен компонент,G71
глио-сарком,G71
Саркоматозен глиобластом,G71
4p синдром на изтриване,Q93
4P-синдром,Q93
синдром на делеция на хромозома 4p16.3,Q93
делеция на хромозома синдром на Дилан 4п,Q93
Синдром на Дилан 4p,Q93
Синдром на Пит,Q93
Синдром на Пит-Роджърс-Данкс,Q93
Пит - Роджърс - Данков синдром,Q93
PRDS,Q93
WHS,Q93
Волф - синдром на Хиршхорн,Q93
НМО,G36
Болест на Девич,G36
Синдром на Девич,G36
Болест на Девич,G36
Невромиелит оптиката на Девич,G36
Синдром на Девич,G36
Neuromyelitis optica,G36
Neuromyelitis optica (разстройство),G36
Нарушение на NMO спектъра,G36
нарушение на кървенето,D69
хеморагична диатеза,D69
Хеморагична болест,D69
KC,H18
KCN,H18
KTCN,H18
конусовидна роговица,H18
APL,C92
АКТУАЛНА ПРОМИЕЛОЦИТНА ЛЕВКЕМИЯ,C92
APML,C92
Остра миелобластна левкемия 3,C92
остра миелобластна левкемия тип 3,C92
остра миелоидна левкемия М3,C92
Остра миелоидна левкемия с t (15; 17) (q22; q12); (PML / RARalpha) и варианти,C92
Остра промиелоцитна левкемия с PML-RARA,C92
Остра промиелоцитна левкемия с t (15; 17) (q22; q12); PML-RARA,C92
Остра промиелоцитна левкемия с t (15; 17) (q22; q12); PML / RARA,C92
АКУТНА ПРОМИЕЛОКОТИЧНА ЛЕВКЕМИЯ; APL,C92
AML M3,C92
AML с t (15; 17) (q22; q12),C92
AML с t (15; 17) (q22; q12); (PML / RARalpha) и варианти,C92
APML - Остра промеелоцитна левкемия,C92
FAB M3,C92
Левкемия, остра промиелоцитна,C92
Промеелоцитна левкемия,C92
XP,Q82
Xeroderma pigmentosa,Q82
Angioma Pigmentosum Atrophicum,Q82
Atrophoderma Pigmentosum,Q82
Дерматоза на Капоши,Q82
Болест на Капоши,Q82
Меланоза Lenticularis Progressiva,Q82
Пигментирана епителиоматоза,Q82
Ксеродерма на Капоши,Q82
Xeroderma Pigmentosum Syndrome,Q82
Синдром на Клайн-Левин,G47
Синдром на фамилна хибернация,G47
Фамилен синдром на Клайн-Левин,G47
Синдром на Клайн Левин,G47
Лупи болен,A84
FD,E75
Болест на Фабри,E75
дефицит на алфа галактозидаза,E75
дефицит на алфа-галактозидаза А,E75
ACHM,H53
пълна ахроматопсия,H53
пълна цветна слепота,H53
Пълна или непълна цветна слепота,H53
monochromacy,H53
monochromatism,H53
Пингелапезна слепота,H53
монохромност на пръчката,H53
прът монохроматизъм,H53
обща цветна слепота,H53
типична ахроматопсия,H53
ТА,M31
Болест на Такаясу,M31
Артерит на Такаясу,M31
(Артерит на аортната арка) или (болест на Такаясу [и без пулс]),M31
артерит на аортна арка,M31
синдром на аортната дъга,M31
синдром на аортит,M31
идиопатичен аортит,M31
Идиопатичен аортит (разстройство),M31
неспецифичен аортоартерит,M31
синдромна болест на фарингеалната артерия,M31
безпулсова болест,M31
Млад женски артерит,M31
Дирофилария инфекциозно заболяване,В74
Инфекция от дирофилария,В74
Инфекция от дирофилария (разстройство),В74
Себореен дерматит,L21
Cradle Cap,L21
Други себореен дерматит,L21
Други себореен дерматит (разстройство),L21
себорея,L21
Себорея (разстройство),L21
Себорея NOS (разстройство),L21
себореен дерматит,L21
Себореен дерматит (разстройство),L21
Себореен дерматит NOS,L21
Себорейна екзема,L21
Себореята,L21
Себорейна екзема,L21
КОЖА СЕБОРРЕЙКА,L21
TPID,D55
Дефицит на TPI,D55
Дефицит на триозен фосфат-изомераза,D55
ТРИОСЕФОСФАТНА ИЗОМЕРАЗНА ИНФОРМАЦИЯ,D55
ТРИОСЕФОСФАТНА ИЗОМЕРАЗНА ИНФОРМАЦИЯ; TPID,D55
Болест на Меньере,Н81
Болест на Мениере,Н81
Синдром на Мениер,Н81
Световъртежът на Мениер,Н81
Световъртежът на Mnire,Н81
Отогенен световъртеж,Н81
фамилна ортостатична тахикардия, дължаща се на дефицит на носапинефрин транспортер,i95
раздразнително сърце,i95
синдром на пролапс на митралната клапа,i95
невроциркулаторна астения,i95
ортостатична непоносимост,i95
ортостатична непоносимост поради дефицит на NET,i95
синдром на постурална ортостатична тахикардия,i95
синдром на постурална тахикардия поради дефицит на NET,i95
войници сърце,i95
Lagophthalmos (находка),H02
Lagophthalmos NOS (намиране),H02
Лагофталмос, неопределен,H02
lagophthalmous,H02
Неопределен лагофталмос (находка),H02
blepharoptosis,H02
увиснал клепач,H02
Птоза на клепачите,H02
поведение на огън,F63
палеж,F63
Патологична заря,F63
HOKPP,G72
Хипокалемична периодична парализа,G72
фамилна хипокалемична периодична парализа,G72
фамилна хипокалемична периодична парализа (разстройство),G72
