A08.1, гастроентеропатия 
E01.1," налице е нодозна еутиреоидна струма, която ще подлежи на оперативно лечение "
E01.1, струма нодоза Іб гр 
E01.1, струма нодоза рецидива гр iв 
E01.1, нодозна струма - еутиреоидна 
E01.1, струма нодоза ІІ ст 
E01.1, базедовифицирана нодозна струма-тип базедов боолест 
E01.1, струма нодоза Іб ст 
E01.1, струма нодоза гр. iб 
E01.1, струма нодоза i б еутиреоида 
E01.1, струма нодоза гр 1б/ базедовификата- в начална терапевтична ремисия 
E01.1, нодозна еутироидна струма гр. Іб 
E01.1, струма нодоза гр i б- ii 
E01.1," Іб базедовификата, субклиничен хипертиреоидизъм "
E01.1, нодозна еутиреоидна струма І-б степен 
E01.1, струма нодоза гр 1б/ - еутиреоидес 
E01.1, струма нодоза гр 1б/ рецидива постоператива- еутиреоидес 
E01.1, струма нодоза І б - еутироидна 
E01.1, струма нодоза рецидива гр. ІІ 
E01.1, рецидивна нодозна струма ІІ б ст 
E01.1," ІІ, базедовификата, ретроклавикуларна, в терапевтична ремисия "
E01.1, струма нодоза Іб еутироидес 
E01.1, нодозна струма ІІгр 
E01.1, нодозна струма-еутиреоидна фаза 
E01.1, еутиреоидна нодозна струма 
E01.1, нодозна рецидивна струма І б 
E01.1," нодозна струма, еутиреоидна "
E01.1, струма нодоза ІІгр еутироидес 
E01.1, нодозна еутиреоидна струма гр. i б 
E01.1, струма нодоза гр. ІІ. обс 
E01.1, нодозна еутиреоидна струма- ii ст 
E01.1, нодозна струма гр. Іб 
E01.1, нодозна еутиреоидна струма Іб 
E01.1, струма нодоза гр 1б/ базедовификата- в терапевтична ремисия 
E01.1," І-б, базедовификата, актива "
E01.1, нодозна струма- 1в ст 
E01.1, нодозна крума ІІ ст 
E01.1, струма нодоза iiст 
E01.1, нодозна еутиреидна струма І-б степен 
E01.1, нодозна токсична струма 
E01.1, струма нодоза гр 1б/ хашимото в хипотиреоидна фаза 
E01.1," базедовифицирана нодозна струма ІІ с-н, клинична и хормонална ремисия "
E01.1, нодозна еутиреоидна струма гр. 1б 
E01.1, нодозна еутироидна струма ІІгр 
E01.1, струма нодоза ibст 
E01.1, нодозна струма І б еутироидна 
E01.1," струма нодоза рецидива, гр "
E01.1, струма нодоза рецидива гр1б/ постоператива 
E01.1, нодозна струма ibст 
E01.1," нодозна струма- І бгр, еутироидна "
E01.1, струма нодоза гр 1б/ хашимото в еутиреоидна фаза 
E01.1, нодозна струма 2 ст /еутиреоидна/ 
E01.1, струма нодоза рецидива постоператива базедовификата в непълна терапевтична ремисия 
E01.1, струма нодоза iб ст еутироидна 
E01.1," нодозен вариант, еутиреоидна фаза "
E01.1, струма полинодоза гр 
E01.1, нодозна 
E01.1, струма нодоза гр І б 
E01.1, струма нодоза резидива гр 
E01.1, струма нодоза рецидива постоператива гр 1б/ еутиреоидес 
E01.1, нодозна рецидивна струма 1б-постоперативен хипотиреоидизъм 
E01.1, рецидивна нодозна струма гр. 1б 
E01.1, нодозна еутроидна струма ІІгр. хобб 
E01.1, нодозна еутиреоидна струма 1б ст 
E01.1," нодозна струма ІІгр, еутироидна "
E01.1, нодозна струма Ібст - субкомпенсиран хипотиреоидизъм 
E01.1, струма нодоза ib-еутиреодидна 
E01.1," струма нодоза гр 1б/ хашимото в хипотиреоидна фаза, компенсирано състояние "
E01.1," струма нодоза гр 1б/, еутиреоидес "
E01.1, струма нодоза гр 1б/ рецидива постоператива еутиреоидес 
E01.1, струма нодоза - еутиреоидна 
E01.1, нодозна еутиреоидна струма - i б степен 
E01.1, струма нодоза ІІгр еутиродес 
E01.1," струма нодоза гр 1б/-2 базедовификата, в начална терапевтична ремисия "
E01.1," нодозна струма iб степен, еутиреоидна "
E01.1, струма нодаза гр. ІІ 
E01.1, нодозна еутиреоидна струма iб степен 
E01.1, нодозна струма- ІІст 
E01.1, нодозна еутиреоидна струма i б ст 
E01.1, струма нодоза 1б-еутиреоидно състояние 
E01.1, нодозна струма- iб ст 
E01.1, тиреоидее проптер струма нодоза 
E01.1, струма нодоза рецидива - 1б 
E01.1, нодозна еутиреоидна струма 1б 
E01.1, нодозна струма 1в ст 
E01.1," полинодозна струма от І-б степен, с начална базедовификация "
E01.1, еутирероидна нодозна струма 
E01.1, рецидивна нодозна струма ІІгр 
E01.1, нодозна еутиероидна струма ІІ степен 
E01.1, нодозна еутиреоидна струма Іб степен 
E01.1, струма нодоза Ів-еутиреоидна 
E01.1, базедофицираща нодозна струма тип марин - ленар 
E01.1, полинодозна струма 
E01.1, струма нодоза гр iб еутироидна 
E01.1, нодозна струма iб в еутиреоиден стадий 
E01.1, нодозна еутиреоидна рецидивна струма 
E01.1, струма нодоза ??ст 
E01.1, нодозна струмаІІст 
E01.1, струма нодоза І б рецидива 
E01.1, нодозна еутириоидна струма 
E01.1, струма нодоза рецидива ІІгр 
E01.1, еутиреоидна нодозна струма iб ст 
E01.1, струма нодоза i б 
E01.1, нодозна еутиреоидна струма i б степен 
E01.1, струма нодоза еутироидна ІІ гр 
E01.1, нодозна еутиреоидна струма гр. 1 б 
E01.1, струма нодоза 1в ст 
E01.1, струма нодоза гр iб- еутиреоидна 
E01.1, нодозна струма Іб еутиреоидна 
E01.1, нодозна еутиреоидна струма 1в ст 
E01.1, нодозна еутиреоидна струма-ІІ ст 
E01.1, струма нодоза iб-еутиреоидес 
E01.1, струма нодоза ii степен 
E01.1, нодозна еутиреоидна струма ІІІ степен 
E01.1, нодозна струма 2ст 
E01.1, нодозна еутиреидна струма от І-б степен 
E01.1, нодозна рецидивна струма-еутиреоидна 
E01.1, струма нодоза рецидива І б 
E01.1, струма нодоза гр. ?б 
E01.1, нодозна еутиреоидна струма І б гр 
E01.1, струма нодоза гр. ?? 
E01.1, струма нодоза рецидива 1б 
E01.1, струма нодоза рецидива гр i б 
E01.1, нодозна струма ст ib - еутироидна 
E01.1," струма нодоза І б, еутиоридна "
E01.1, нодозна струма- І б ст 
E01.1, струма нодоза І І бгр- еутироидна 
E01.1, струма нодоза гр. ??. обс 
E01.1, нодозна еутиреоидна срума от І-б степен 
E01.1, нодозна струма-iб степен 
E01.1, нодозна еутиреоидна струма ІІ степен 
E01.1, струма нодоза- рецидив 
E01.1, нодозна еутиреоидна струма І б степен 
E01.1," нодозна, рецидивна еутиреоидна струма "
E01.1, струма ноодоза гр 
E01.1, струма нодоза гр iб- еутиреоидно състояние 
E01.1, нодозна еутиреоидна рецидивна струма от І-б степен 
E01.1, струма нодоза 1б- еутиреоидно състояние 
E01.1, струма нодоза гр Іб еутироидес 
E01.1, струма нодоза І б гр еутиодно 
E01.1," нодозна струма iб ст, еутиреоидна фаза "
E01.1, струма нодоза рецидива І б еутироидна 
E01.1, струма нодоза І б еутиродна 
E01.1, нодозна рецидивна еутиреоидна струма 
E01.1, нодозна еутиреоидна струма 1б ст. хобб 
E01.1, нодозна рецидивна струма/ретростернална/ 
E01.1, нодозна еутиреоидна струма- i б степен 
E01.1, струмя нодоза гр 
E01.1, струма нодоза ІІгр еутироидна 
E01.1, струма нодоза 1б 
E01.1, нодозен вариант 
E01.1, нодозна струма iб степен 
E01.1, струма нодоза І б гр еутироидес 
E01.1, струма нодоза- еутиреоидно състояние 
E01.1, струма нодоза 1б - еутиреоидно състояние 
E01.1," струма нодоза гр 1б/ хашимото- хипотиреоидна фаза, компенсирано състояние "
E01.1, струма нодоза iб 
E01.1, нодозна еутироидна струма ii ст 
E01.1, нодозна струма І б еутиоридна 
E01.1, еутиреоидна нодозна струма-Ібст 
E01.1, струма нодоза гр i б 
E01.1, еутиреоидна нодозна струма гр. iб 
E01.1, нодозна струма ІІІ степен 
E01.1, ІІгр струма дифуза iб гр-еутиреоидна 
E01.1, про струма нодоза / окултен са на щит 
E01.1," базедовифицирана нодозна струма ІІ степен, средно-тежка форма "
E01.1, струма нодоза гр. І 
E01.1, струма нодоза 1б ст 
E01.1, нодозна еутиреоидна струма първа б ст 
E01.1, струма нодоза ст iб 
E01.1, струма нодоза рецидива пермагна 
E01.1, струма нодоза 1б ст- еутиреоидно състояние 
E01.1, струма нодоза гр 2/- субклиничен хипертиреоидизъм 
E01.1, струма нодоза гр iб 
E01.1, нодозна еутиреоидна струма гр. І 
E01.1, нодозна еутиреоидна струма-Ібст 
E01.1, нодозна еутиреоидна струма i бст 
E01.1," струма нодоза гр 1б/ базедовификата- средно тежка форма, в начална терапевтична ремисия "
E01.1, базедовифицирана нодозна струма Іб- ІІст 
E01.1, еутиреоидна нодозна струма -Ібст 
E01.1, рецидивна нодозна струма Іб ст 
E01.1, струма нодоза гр 1б-2/ еутиреоидес 
E01.1, еутиреоидна нодозна струма Ібст 
E01.1, нодозна струма 1бст 
E01.1, струма нодоза гр1б/ еутиреоидес 
E01.1, нодозна еутиреоидна струма- рецидивна 
E01.1, струма нодоза iб степен 
E01.1, рецидивна нодозна базедовифицирана струма Іб - в терапевтична ремисия 
E01.1, полинодозна рецидивна еутиреоидна струма от І-б степен 
E01.1, нодозна струма ii степен 
E01.1, нодозна струма І б степен 
E01.1, струма нодоза 1бст 
E01.1, струма нодоза гр. i б 
E01.1," І-б, базедовификата (типус марин-ленард), в начална терапевтична ремисия "
E01.1, струма нодоза 1 б 
E01.1, полинодозна еутиреоидна струма 
E01.1, нодозна рецидивна струма-Іб ст 
E01.1, рецидивна полинодозна еутиреоидна струма 
E01.1, нодозна рецидивна еутиреоидна струма-Ібст 
E01.1, нодозна струма 1б ст 
E01.1, нодозна рецидивна дструма от І-б степен 
E01.1, нодозна еутиреоидна рецидивна струма І-б степен 
E01.1, про струма нодоза базедовификата 
E01.1, нодозна струма 1бст-еутиреоидно състояние 
E01.1, струма нодоза gr. i б 
E01.1, струма нодоза рецидива гр. iб 
E01.1," струма нодоза гр 1б/-2 базедовификата, в обострен стадий "
E01.1, еутиреоидна нодозна струма гр. ??. ах гр. ?? 
E01.1, струма нодоза гр. Іi 
E01.1, нодозна еутиреоидна струма 2 ст 
E01.1, нодозна еутиреоидна струма гр. 2 
E01.1, нодозна еутиреоидна струма - iб ст 
E01.1, еутиреоидна нодозна струма гр. ?б 
E01.1," струма нодоза, гр. iб "
E01.1, нодозна еутиреоидна струма - i б ст 
E01.1, еутиреоидна рецидивна нодозна струма 
E01.1," базедофицирана нодозна струма-iбст, фаза на медикаментозен хипотиреоидизъм "
E01.1, нодозна еутиреоидна струма гр. 2. обс 
E01.1, нодозна еутиероидна струма 
E01.1, нодозна струма iii ст 
E01.1, струма нодоза гр 1б/ / обс нео гл тир/ 
E01.1, нодозна струма 1бст- еутиреоидно състояние 
E01.1, струма нодоза еутиреоидес гр. iб. обс 
E01.1, базедовифицирана нодозна струма-ІІст 
E01.1, нодозна струма гр 
E01.1, нодозна еутироидна струма 
E01.1," І-б, базедовификата (типус марин-ленард), във фаза на медикаментозен хипотиреоидизъм "
E01.1, еутиреоидна нодозна струма-Іб ст 
E02, субклиничен хипотиреоидизъм 
E02, субклиничен хипертиреоидизъм 
E02, субклиничен хипотиреридизъм 
E02, субклиничен хипертиреоидизъм -йод- индуциран 
E02, субклиничен медикаментозен хипертиреоидизъм 
E03.0, вроден хипотиреоидизъм 
E03.0, вроден хипопитуитаризъм 
E03.0, компенсиран хипотиреодизъм
E03.0, компенсиран постоперативен хипотиреоидизъм 
E05.3, ектопична щитовидна жлеза 
E06.1, подостър тиреоидит 
E06.1," подостър тиреоидит, актива "
E06.1," подостър тиреоидит - активен, хипертиреоидна фаза "
E06.1, подостър тиреоидит в терапевтична ремисия 
E06.1, подостър тиреоидит във фаза на субклиничен хипотиреоидизъм 
E06.1, подостър тиреоидит на де кервен 
E06.3, автоимунен тиреоидит /хашимото/-еутироидна фаза 
E06.3," автоимунен тиреоидит /на хашимото/, струмозен вариант, еутиреоидна фаза "
E06.3, автоимунно тироидно заболяване /аитз/ 
E06.3," автоимунен тиреоидит, хипотироидна фаза "
E06.3, автоимунен тиреоидит 
E06.3, автоимунен тиреоидит /еутиреоидна фаза/ 
E06.3, автоимунен тиреоидит- в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит- в еутироидно ссътояние 
E06.3, автоимунен тиреоидит в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит- нодозен вариант в еутироидно състояние 
E06.3, автоимунен тиреоидит- в еутироидно състояние 
E06.3," автоимунен тиреоидит-в хипотиреоиден стадий, медикаментозно компенсиран "
E06.3," автоимунен тиреоидит- в хипотиреоиден стадий, медикаментозно компенсиран "
E06.3, автоимунен тиреоидит /хашимото/ - еутироидна фаза 
E06.3," автоимунен тиреоидит - нодозен вариант в хипотиреоиден стадий, медикаментозно компенсиран "
E06.3, автоимунен тиреоидит - в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит -в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит в еутироидно състояние 
E06.3," автоимунен тиреоидит /нодозен вариант/, еутироидна фаза "
E06.3, автоимунен тиреоидит в хипотиреоиден стадий- медикаментозно компенсиран 
E06.3, автоимунен тиреоидит - еутироидна фаза 
E06.3, автоимунен тиреоидит - първичен хипотиреоидизъм 
E06.3, автоимунен тиреоидит /хашимото/ 
E06.3, автоимунен тиреоидит/ 
E06.3," автоимунен тиреоидит нодозен вариант, субклиничен хипотиреоидизъм "
E06.3, автоимунен тиреидит 
E06.3, автоимунен тиреоидит - субклиничен хипотиреоидизъм 
E06.3, автоимунен тиреоидит - фаза на субклиничен хипотиреоидизъм 
E06.3, автоимунен тиреоидит - хипотиреоидна фаза 
E06.3, автоимунен хипотиреоидизъм 
E06.3, автоимунен тиероидит в еутироидно състояние 
E06.3, автоимунен тиреоидит - в еутироидно състояние 
E06.3, автоимунен тиреоидит-нодозен вариант в еутироидно състояние 
E06.3," автоимунен тиреоидит в хипотиреоидна фаза, медикаментозно компенсиран "
E06.3, автоимунен тиреоидит- нодозен вариант- в хипотиреиден стадий 
E06.3, автоимунен тиреоидит- хипотиреоидна фаза 
E06.3, автоимунен тиреоидит-- нодозен вариант- в хипотиреоиден стадий 
E06.3," автоимунен тиреоидит-нодозен вариант в хипотиреоиден стадий, медикаментозно компенсиран "
E06.3," автоимунен тиреоидит в хипотиреоиден стадий, "
E06.3, автоимунен тиреоидит-нодозен вариант 
E06.3, автоимунен тиреоидит- хипотиреоиден стадий 
E06.3, автоимунен тиероидит- в хипотиреоиден стадий 
E06.3," автоимунен тиреоидит- в хипотиреоиден стадий, некомпенсиран "
E06.3, автоимунен тиреоидит - нодозен вариант- в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит- нодозен вариант 
E06.3, автоимунен тиреоидит- нодозен вариант в хипотиреоиден стадий 
E06.3, автоимунен хитотиреоидизъм 
E06.3, автоимунен тиреоидит- нодозен вариант в еутиреоидно състояние 
E06.3," автоимунен хипотиреоидизъм, компенсиран "
E06.3," автоимунен тиреоидит-в хипотиреоиден стадий, некомпенсиран "
E06.3," автоимунен тиреоидит- в хипотиреоиден стадий, медикаметнозно компенсиран "
E06.3, автоимунен тиреоидит-нодозен вариант в хипотиреоиден стадий 
E06.3," автоимунен тиреоидит - нодозен вариант, имунологично негативен в еутиреоиден стадий "
E06.3, автоимунен тиреоидит-в хипотиреоиден стадий 
E06.3, автоимунен тиреоидит - нодозен вариант в еутиреоидно състояние 
E06.3," автоимунен тиреоидит- нодозен вариант, в хипотиреоиден стадий "
E06.3, автоимунен тиреоидит на хашимото 
E06.3, автоимунен тиреоидит- нодозен вариант в хипотиреоиден стадий /некомпенсиран/ 
E06.3," автоимунен тиреоидит -в хипотиреоиден стадий, некомпенсиран "
E06.3," автоимунен тиреоидит - в хипотиреоиден стадий, медикаментозно компенсиран "
E06.3, автоимунен тиреоидит - нодозен вариант в еутироидно състояние 
E06.3," автоимунен тиреоидит - базедова болест, дд хашитоксикоза "
E06.3, автоимунен тиреоидит -нодозен вариант в еутироидно сътояние 
E06.3," автоимунен тиреоидит-нодозен вариант, еутиреоидна фаза "
E06.3," автоимунен тиреоидит-хипотиреоиден стадий, в медикаментозен хипертиреоидизъм "
E06.3, автоимунен тиреоидит- нодозен вариант в еутиреоиден стадий 
E06.3," автоимунен тиреоидит- в хипотиреоиден стадий, медикаментозно некомпенсиран артериална хипертониа ІІгр. ибс "
E06.3," автоимунен тиреоидит, нодозен вариант в хипотиреоиден стадий "
E06.3, автоимунен тиреоидит във фаза на субклиничен хипотиреоидизъм 
E06.3, автоимунен тиреоидит- нодозен вариант в хипертиреоиден стадий 
E06.3, автоимунен тиреоидит в еутиреоиден стадий 
E06.3," автоимунен тиреоидит- нодозен вариант, в еутиреоиден стадий "
E06.3," автоимунен тиреоидит- нодозен вариант, в еутироидно състояние "
E06.3," автоимунно тиреоидно заболяване, еутиреоиден стадий "
E06.3, автоимунен тиреоидит- в хипотиреоиден стадий /медикаментозно некомпенсиран/ 
E06.3, автоимунен тиреоидит- нодозен вариант в еутиродно състояние 
E06.4, медикаментозен хипотиреоидизъм 
E07.7, други разстройства на паращитовидните жлези 
E07.8, други уточнени болести на щитовидната жлеза 
E10, инсулинозависим захарен диабет 
E20.1, псевдохипопаратиреодизъм
E20.1, псевдопсевдохипопаратиреоидизъм
E20.1, псевдохипопаратиреоидизъм 
E20.1, псевдохипопаратиреоидизъм тип І-б 
E21.0," първичен хиперпаратиреоидизъм, постоперативен рецидив "
E21.0, първичен хиперпаратиреоидизъм 
E21.0, хипертиреоидизъм- суклиничен 
E21.0, хипертониа артериалис гр. ІІ 
E21.0, хиперпаратиреоидизъм / функционален / 
E21.0, хиперпаратиреоидизъм 
E21.0, хипертиреоидизъм 
E21.0, хиперпаратиреоидизъм при аденом на долна дясна паращитовидна жлеза 
E21.1, вторичен хиперпаратиреоидизъм 
E21.1, вторичен хиперпаратиреоидизъм- функционален 
E21.1, вторичен хиперпаратиреодизъм 
E21.1, вторичен хиперпаратиреоидизъм с бъбречен произход 
E21.1, вторичен хиперпаратиероидизъм 
E21.1, вторичен хихерпаратиреоидизъм 
E21.1, вторичен хиперпаратиреидизъм с бъбречен произход 
E21.2, други форми на хиперпаратиреоидизъм 
E21.2, други уточнени форми на хиперпаратиреодизъм 
E21.2, други форми на хиперпаратиреоидзъм 
E21.2, други уточнени форми на хиперрпаратиреоидизъм 
